14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2014ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂノボバカラ, 68,浜中俊,, 66,*  3,*  4, 1,  1.6, ③③, 1,16, トゥルッリ,---,横山典,, 50,*-19,* -1, 1,  3.1, ③③, 1,11,Ｅダノンプラチナ, 63,蛯名正,, 79,   9,* -1, 1,  2.3, ⑤⑤, 1,10,Ｇフレｰジャパン, 80,蛯名正,, 85,   3,*  5, 7, 14.0,⑮⑫⑪
 2,14,Ｊラヴァｰズデイ, 48,ブノワ, 0.6, 61,   1,*  3,14,166.8, ⑧⑦, 2, 4, エヴァンジル,---,田辺裕, 0.0, 54, -23,*  6, 7, 16.4, ⑫⑩, 2, 6,Ｆミッキｰユニバｰス, 62,北村宏, 0.5, 71,* 17, -23, 2,  4.1, ①①, 2, 6,Ｄヴァｰゲンザイル, 82,戸崎圭, 0.0, 85,   2,*  9,11, 24.6,⑬⑭⑯
 3,13,Ｈクインズケリド, 54,石川裕, 0.8, 58,*  3,  -3,12, 67.9, ②②, 3, 9, ウインオリファン,---,ムｰア, 0.5, 42,*-18, -10, 3,  7.9, ①①, 3, 3,Ｄニシノクラッチ, 64,田辺裕, 0.6, 71,   3,*  0, 4,  7.9, ⑩⑩, 3, 4,Ｉタイセイドリｰム, 78,田辺裕, 0.2, 78,   6,  -5, 4,  6.6,③③③
 4,10,Ｃニｰマルキング, 66,ムｰア, 0.9, 58,*  3,  -4, 2,  4.2, ①①, 4,15, バンゴｰル,---,戸崎圭, 0.7, 45, -23,  -2, 2,  3.6, ⑬⑫, 4, 4,Ｇシンキングロｰジス, 62,武豊  , 0.6, 70,   7,  -8, 8, 26.8, ④④, 4,12,Ｅビｰビｰトレイタｰ, 82,赤岡修, 0.2, 79,   5,  -2, 1,  5.0,⑧⑧⑨
 5, 7,Ｎラブリｰメイク, 30,北村宏, 1.3, 55,   1,  -5, 8, 24.5, ⑤⑤, 5,13, ハッピｰパウダｰ,---,武豊  , 0.8, 41, -20, -10, 4, 10.2, ⑤⑥, 5, 1,Ｂシンボリタピット, 65,横山典, 0.6, 69,* 11, -14, 6, 13.0, ②②, 5, 1,Ｈロｰレルブレット, 79,スマレ, 0.3, 78,   5,  -3, 9, 15.0,⑦⑦⑧
 6,11,Ｏホワイトガｰデン, 26,赤岡修, 1.4, 55,   0,  -3, 7, 22.5, ⑨⑧, 6,12, ミュゼフロｰレンス,---,北村宏, 1.0, 43, -28,* -1, 9, 19.0, ⑯⑯, 6, 7,Ａオｰプンザウェイ, 75,戸崎圭, 1.3, 63,   0,  -5, 3,  6.4, ⑫⑪, 6, 7,Ａヒラボクプリンス, 85,ムｰア, 0.3, 76,   5,  -3, 8, 15.0,⑫⑥⑦
 7, 5,Ａクラウンシャイン, 72,黛弘人, 1.5, 58,  -3,*  2, 5, 21.0, ⑬⑬, 7, 3, シャドウスペル,---,福永祐, 1.0, 37,*-19, -14, 6, 15.1, ④⑤, 7, 8,Ｊマイネルリｰド, 59,柴田大, 1.5, 61,   6, -19,10, 66.7, ⑦⑦, 7, 3,Ｌトウカイオｰロラ, 76,福永祐, 0.7, 74,   3,  -5,13, 62.7,⑨⑩⑬
 8, 6,Ｅトｰセンアスリｰト, 58,吉田豊, 1.5, 53,  -2,  -2, 6, 21.9, ⑫⑪, 8, 8, コスモフットライト,---,柴田大, 1.6, 29,*-18, -26,10, 22.8, ②②, 8, 2,Ｈダイワコンプリｰト, 61,後藤浩, 1.5, 58,  10, -26, 9, 37.5, ③③, 8, 2,Ｍスマｰトリバティｰ, 75,パｰト, 0.7, 73,   6, -10,15, 85.1,⑤④⑤
 9, 4,Ｆサンチュｰタ, 57,松岡正, 1.5, 55,  -2,   1,10, 47.6, ⑪⑫, 9,11, ロングトレイル,---,嘉藤貴, 1.7, 29, -23, -19,16,241.8, ⑪⑪, 9, 5,Ｌショウナンライコウ, 51,大野拓, 1.7, 57,   6, -22,13,142.8, ⑥⑥, 9,13,Ｃマイネルマｰク, 82,ヒュｰ, 0.7, 75,   3,  -3, 5, 11.6,⑭⑮⑭
