15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａカネｰタ, 71,石川裕,, 63,*  6,  -6, 1,  2.5, ③②, 1,16, マルタｰズシャトル,---,吉田隼,, 61,*  3,  -5, 1,  2.7, ③③, 1,16,Ｂシュナップス, 71,戸崎圭,, 75,*  9,   8, 1,  2.3, ③③, 1,12,Ｂトｰセンアルニカ, 82,ベリｰ,, 84,  13,*  4, 2,  5.3,⑩⑩⑨
 2,16,Ｊダンガンコゾウ, 43,嘉藤貴, 0.4, 59,   5,  -9, 7, 15.8, ④④, 2, 7, ダｰクグリｰン,---,横山典, 0.3, 59,   0,  -3, 2,  4.9, ⑤④, 2,12,Ｄノッキングオン, 69,田辺裕, 0.3, 73,   6,   8, 6, 19.4, ⑥⑥, 2, 7,Ｄスズカヴァンガｰド, 80,西田雄, 0.2, 83,  15,  -4, 1,  4.1,⑦⑦⑤
 3, 2,Ｉウサギノカケアシ, 45,武士沢, 0.5, 54,  -5,*  0, 9, 33.0, ⑭⑫, 3,10, ニシノアンジュ,---,石川裕, 0.4, 60,*  7, -11, 4,  7.1, ②①, 3,13,Ｇダイメイリシャｰル, 68,井上敏, 0.7, 69,   7,   2, 4, 10.6, ④⑤, 3,10,Ｆサクラボｰルド, 78,横山典, 0.3, 81,  14,* -1, 5,  7.2,⑧⑧⑧
 4,15,Ｌデルタタイム, 42,黛弘人, 0.6, 59,   3,  -8,10, 83.2, ⑥⑥, 4,15, デュアルフレイム,---,戸崎圭, 0.6, 55,  -4,  -3, 6, 11.8, ⑧⑨, 4, 6,Ａレッドジョｰカｰ, 73,杉原誠, 0.8, 65,   0,   8, 7, 20.0, ⑫⑪, 4, 9,Ｉマイネルアイザック, 77,柴田大, 0.5, 81,  17, -14, 8, 19.4,⑥⑤④
 5, 8,Ｇコｰリンブリリアン, 49,柴田善, 0.6, 53,  -4,* -2, 6, 11.3, ⑬⑭, 5, 9, ヴァッハウ,---,北村宏, 0.7, 55,  -5,  -3, 5,  8.6, ⑦⑧, 5,15,Ｃドラゴンビュｰティ, 70,武士沢, 0.8, 67,   4,   5,11, 47.4, ⑧⑦, 5, 5,Ｃマイネルジェイド, 81,松岡正, 0.7, 80,  13,  -5, 3,  5.5,⑨⑨⑩
 6, 7,Ｅトミケンキルカス, 53,三浦皇, 0.7, 55,   1,  -8, 5, 10.0, ⑦⑧, 6,14, ゼンザイ,---,西田雄, 0.8, 56,  -3,  -5, 7, 18.8, ⑥⑥, 6, 1,Ｐコアレスキング, 61,蛯名正, 0.9, 67,   0,   7, 5, 15.7, ⑪⑫, 6, 8,Ｅブリッジクライム, 80,柴田善, 0.7, 79,  12,  -3, 7, 12.0,⑪⑪⑪
 7, 5,Ｃディマンズ, 55,田中勝, 0.8, 53,  -5,* -4, 2,  4.9, ⑫⑬, 7,12, ダノンエンジェル,---,蛯名正, 1.5, 48, -10,  -5, 3,  5.7, ⑪⑪, 7,10,Ｈダブルフェイス, 67,津村明, 1.1, 66,* 10,  -4, 3,  5.6, ②②, 7, 4,Ｇロジサンデｰ, 77,後藤浩, 1.1, 74,  13,  -8,10, 37.2,⑫⑫⑫
 8, 1,Ｄメランコリア, 55,津村明, 1.1, 53,   4, -14, 8, 18.6, ⑤⑤, 8, 3, カクテルトウショウ,---,的場勇, 1.7, 48,   0, -15,13,122.2, ④⑤, 8, 7,Ｎセイクラベ, 63,大野拓, 1.2, 64,  -4,*  9,10, 42.4, ⑭⑭, 8, 3,Ａアロヒラニ, 84,田辺裕, 1.2, 76,  17, -22, 4,  6.3,③③③
 9,13,Ｋキザシ, 42,原田和, 1.1, 51,  -3,  -8,12,178.0, ⑪⑪, 9, 5, アイズフォワｰド,---,勝浦正, 1.8, 43, -17,* -2,15,136.0, ⑬⑬, 9, 5,Ｆトウカイチャｰム, 69,石川裕, 1.3, 63,  -5,   8, 9, 35.1, ⑬⑬, 9,11,Ｋメイショウカドマツ, 69,津村明, 1.8, 70,* 24, -58, 6,  8.4,①①①
