15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｉクワドルｰプル, 46,内田博,, 60, -12,* 10, 6, 10.1, ⑩⑨, 1, 9, リｰガルプレゼンス,---,ベリｰ,, 59,  -3,*  3, 5,  9.6,⑩⑧⑤, 1, 7,Ｅキネオイｰグル, 72,戸崎圭,, 73,*  7,*  2, 5, 10.6,④③③, 1,14,Ｄマキャヴィティ, 83,後藤浩,, 82,   9,  10, 1,  3.4, ⑤③
 2,15,Ｇゼトス, 51,横山和, 0.2, 60,* -5,   2, 5,  8.4, ③③, 2, 5, キャプテンバロｰズ,---,田辺裕, 1.4, 53,* -1, -11, 1,  3.2,①①①, 2,13,Ｂシェｰンメｰア, 77,後藤浩, 0.6, 70,   5,*  2, 3,  4.9,⑧⑥④, 2, 7,Ｇアメｰジングタクト, 81,三浦皇, 0.0, 84,   4,  15, 2,  5.3, ⑧⑦
 3,14,Ｂシャトルソニック, 58,蛯名正, 0.2, 59,* -4,   0, 1,  2.9, ①①, 3, 2, エンカウンタｰ,---,ブノワ, 1.7, 50,  -3, -11, 2,  4.1,⑥⑦③, 3, 4,Ｈコスモカウピリ, 70,柴田大, 1.0, 69,*  8,  -8, 4, 10.6,⑩②②, 3,12,Ａコウユｰサムライ, 86,ベリｰ, 0.1, 81,   8,  11, 5,  8.3, ⑦⑤
 4,13,Ａラッキｰダン, 58,田辺裕, 0.4, 57,  -7,   2, 4,  6.3, ⑤⑤, 4,15, アストログラフ,---,後藤浩, 1.7, 49,* -2, -13, 6, 11.7,⑧⑤④, 4, 9,Ｄザンブロｰネ, 74,ベリｰ, 1.2, 64,   5,  -4, 1,  2.8,⑥④⑤, 4, 5,Ｊベストルｰラｰ, 79,内田博, 0.1, 82,* 13,   5, 7, 12.2, ①①
 5, 2,Ｈシゲルハダカマツリ, 49,黛弘人, 0.8, 54,  -7,  -3, 8, 23.3, ④④, 5, 6, バゴガエシ,---,黛弘人, 1.9, 51,* -1, -15, 7, 19.7,②②②, 5,12,Ｌリムショット, 63,横山和, 1.8, 67,   3,  -4, 9, 27.0,⑫⑨⑧, 5,16,Ｆルミナスウイング, 82,ブノワ, 0.2, 81,   2,  15, 4,  6.4, ⑨⑨
 6,12,Ｌセンノレイダｰス, 39,的場勇, 0.9, 52,  -9,  -1,13,226.1, ⑨⑦, 6,16, ショｰラファｰル,---,戸崎圭, 3.1, 41,  -8, -13, 8, 37.3,⑭⑨⑩, 6, 2,Ｃマイネルボルソｰ, 75,石川裕, 1.8, 63,   4,  -6, 7, 24.4,③⑦⑦, 6, 8,Ｋイｰグルカザン, 78,柴田大, 0.8, 76,  -6,* 17,11, 39.7, ⑫⑪
 7, 6,Ｆサクラエクレｰル, 51,柴山雄, 1.0, 49, -13,   2, 7, 13.1, ⑪⑧, 7,10, スプリングストｰム,---,蛯名正, 3.3, 42,  -8, -13,13, 87.2,⑨⑩⑨, 7, 5,Ｋネオヴァンデロア, 66,ブノワ, 1.9, 63,   3,  -4,11,161.2,⑪⑩⑨, 7,15,Ｏトップフライアｰ, 74,横山和, 1.0, 76,* 12,  -2,14,107.7, ②②
 8,11,Ｃコスモサビク, 57,石橋脩, 1.1, 51,* -4,  -7, 3,  6.3, ②②, 8, 8, ダイワボナンザ,---,大野拓, 3.9, 36,  -3, -29,11, 50.2,③⑥⑥, 8,11,Ｇマスソングウインド, 70,二本柳, 1.9, 65,  -2,*  6,12,203.8,⑬⑬⑬, 8, 3,Ｉタマブラックホｰル, 80,石川裕, 1.0, 74,  -3,  12, 6, 12.0, ⑩⑩
 9, 3,Ｅユウユウ, 53,三浦皇, 1.2, 50, -10,  -2, 2,  5.8, ⑧⑩, 9, 7, ナチュラルワンダｰ,---,柴山雄, 4.2, 34, -12, -13, 4,  6.4,⑪⑭⑭, 9, 1,Ａプレジｰルシチｰ, 79,内田博, 2.1, 60,*  8, -17, 2,  3.3,①①①, 9, 1,Ｈアルベルティ, 80,柴山雄, 1.1, 71,  -9,* 17, 9, 27.9, ⑭⑭
