15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,逢坂山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄテイエムグンカン, 53,田中健,, 53,*  3,*  5, 3, 12.9,②②①, 1, 8, ノｰザンバロｰズ,---,デムｰ,, 68,  -8,* 12, 1,  1.6, ⑤⑤, 1,12,Ｊチｰフアセスメント, 64,デムｰ,, 76,* 10,*  4, 6, 11.0, ②②, 1,12,Ｉラディウス, 73,岩田康,, 77,   3,*  7, 4, 10.8, ⑧⑦
 2,11,Ａコパノチャｰリｰ, 63,岩田康, 0.0, 53,*  2,*  7, 1,  1.3,④③②, 2,12, キタサンサジン,---,小牧太, 0.5, 63,* -6,   4, 7, 34.4, ②②, 2, 3,Ｂミキノグランプリ, 72,和田竜, 0.2, 76,* 10,*  4, 1,  2.3, ③③, 2, 2,Ｇガリバルディ, 75,福永祐, 0.0, 77,   3,*  7, 1,  1.7, ⑥⑥
 3, 4,Ｂミッキｰハピネス, 59,バルジ, 0.3, 51,   1,*  6, 2,  4.7,⑥⑦⑤, 3, 4, カルｰセルフリック,---,バルジ, 1.1, 58,* -6,   1, 3,  6.5, ③③, 3, 1,Ｃヤマニンブルジョン, 72,福永祐, 0.5, 71,   8,   2, 2,  5.7, ⑤⑤, 3, 9,Ｂレッドオリヴィア, 79,秋山真, 0.1, 74,*  5,  -1, 3,  8.5, ②②
 4, 1,Ｉメイショウメイザン, 38,池添謙, 0.5, 49,   2,   4, 6, 26.1,⑦⑤④, 4, 7, ソルフェジオ,---,福永祐, 1.1, 60, -11,*  7, 9, 72.6, ⑦⑥, 4, 5,Ｄボｰルドジャパン, 68,岩田康, 0.8, 66,   4,*  3, 5,  7.4, ⑪⑦, 4, 1,Ａレッドジゼル, 80,四位洋, 0.1, 76,   4,   2, 2,  4.6, ③③
 5, 2,Ｃドラゴンバロｰズ, 54,菱田裕, 0.8, 48,   2,   1, 7, 26.4,③④⑥, 5,10, フミノミニスタｰ,---,藤岡佑, 1.4, 54,* -4,  -5, 5, 19.0, ①①, 5, 7,Ｈロｰドメビウス, 65,バルジ, 0.9, 65,   4,   2,10, 63.2, ⑩⑫, 5, 6,Ｌゴットラウディｰ, 72,国分恭, 0.4, 72,   4,  -3, 9, 52.2, ④④
 6, 3,Ｊジャイアントケンタ, 36,北村友, 1.9, 39,*  3, -11,11,201.7,①①③, 6, 9, ケイエスミラｰジュ,---,和田竜, 1.6, 56, -12,   4, 8, 63.1, ⑧⑧, 6,14,Ｌテイエムチカラ, 60,幸英明, 0.9, 68,* 11,  -5, 4,  7.3, ①①, 6, 4,Ｈレインフォｰル, 75,武豊  , 0.4, 73,*  7,  -7, 6, 16.0, ①①
 7,10,Ｇスマｰトゾロ, 47,福永祐, 2.8, 35,   2, -16, 4, 24.7,⑤⑥⑦, 7,13, メイショウコウテン,---,竹之下, 2.5, 48, -14,  -1,14,244.4, ⑨⑨, 7,11,Ａピクニックソング, 72,菱田裕, 1.0, 66,   7,  -1, 3,  7.3, ⑦⑥, 7,11,Ｆファｰゴ, 75,丸田恭, 0.4, 73,   1,   3, 7, 20.7, ⑨⑪
 8, 5,Ｋティｰエスバラ, 30,和田竜, 2.9, 36,   1, -15, 8, 54.2,⑩⑧⑧, 8, 1, プロセッラ,---,北村友, 2.5, 48, -16,   2,13,179.9, ⑩⑩, 8, 6,Ｉクリノツネチャン, 65,鮫島良, 1.3, 62,   3,   0,14,156.5, ⑫⑪, 8,10,Ｅメイショウテッサイ, 76,藤岡佑, 0.6, 71,   0,   4,12, 84.5, ⑫⑫
 9,12,Ｌストロベリｰボス,  1,水口優, 2.9, 34,  -3,  -9,12,231.6,⑫⑫⑫, 9,14, フライングニンバス,---,岩田康, 2.7, 45,* -7, -13, 2,  4.4, ④④, 9,13,Ｇケイアイヴァｰゲ, 66,藤田伸, 1.6, 62,   9,  -8, 7, 22.2, ④④, 9,13,Ｄシルクキングリｰ, 77,幸英明, 1.0, 66,   1,  -6, 5, 16.0, ⑪⑨
