15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｌレインボｰソング, 41,藤岡佑,, 59,* -2,*  2, 3,  5.1,①①①, 1, 1, ユイマｰル,---,武豊  ,, 66,*  0,*  4, 3,  4.6,①①①, 1, 8,Ｂヒラボクレジェンド, 78,岩田康,, 80,* 10,*  7, 2,  3.0,③⑤③, 1, 6,Ｃアダムスブリッジ, 66,和田竜,, 78,  -4,* 26, 2,  3.3,⑦⑦⑦
 2,13,Ｃマダムウルル, 55,幸英明, 0.8, 57,  -5,*  1, 2,  5.1,⑬⑨⑥, 2, 5, ワンダｰジンテｰゼ,---,国分恭, 0.9, 62,  -2,*  2, 4, 12.5,⑥⑤⑤, 2, 1,Ｄインテグラｰド, 74,藤岡佑, 0.4, 76,* 10,   3, 3,  9.2,⑤③④, 2, 3,Ｆストｰンウェア, 63,デムｰ, 0.2, 73,  -2,  19, 1,  2.8,⑤⑥⑥
 3,10,Ａルナツｰ, 64,太宰啓, 0.9, 57,* -3,  -3, 1,  4.3,⑪⑤③, 3, 2, サンガッロ,---,幸英明, 1.0, 60,*  0,  -3, 1,  1.8,②②②, 3, 7,Ｃハッピｰロｰド, 75,秋山真, 0.6, 76,   8,*  5, 5, 12.9,⑨⑦⑦, 3, 1,Ａジャズファンク, 73,池添謙, 0.3, 70,  -2,  17, 3,  4.5,⑥⑤④
 4, 5,Ｂマロンマロン, 57,義英真, 1.0, 54,* -3,  -5, 8, 16.2,②②④, 4, 4, アスタｰヴィガｰ,---,太宰啓, 1.0, 61,  -1,  -2, 2,  4.4,③③③, 4, 6,Ａヒルノデイバロｰ, 80,鮫島良, 0.9, 73,* 10,  -2, 1,  1.8,②②②, 4, 4,Ｈサトノゼファｰ, 56,岩田康, 0.5, 64,*  1,   7, 4,  4.8,①①①
 5, 8,Ｅケンブリッジデイズ, 53,武豊  , 1.1, 53,* -2,  -6, 5,  9.2,③③②, 5, 8, ウォｰタｰマハロ,---,柴田未, 1.9, 54,  -1, -10, 8, 74.8,⑤④④, 5, 2,Ｉジュｰルドトネｰル, 54,福永祐, 1.4, 72,   7,   0, 6, 24.6,⑥⑧⑧, 5, 5,Ｅアドマイヤガスト, 63,福永祐, 0.7, 61,*  0,   5, 5,  7.9,③②②
 6, 9,Ｄサントノｰレ, 55,岩田康, 1.2, 54,  -6,  -1, 9, 17.4,⑦⑧⑪, 6, 7, シｰムリｰ,---,岡田祥, 1.9, 57,  -4,  -4, 5, 13.7,⑦⑦⑥, 6, 3,Ｇクｰルジョｰカｰ, 71,幸英明, 1.6, 71,   9,  -4, 8, 31.2,④⑥⑥, 6, 2,Ｄミコラソン, 63,武豊  , 0.9, 62,  -1,   6, 6, 26.7,②③③
 7,14,Ｈインペカブル, 50,岩崎翼, 1.2, 54,  -4,  -5, 6, 10.0,⑥④⑤, 7, 3, ナムラナニｰ,---,小牧太, 4.5, 38,  -5, -25, 7, 23.1,⑧⑧⑦, 7, 5,Ｆティｰエスハｰツ, 72,和田竜, 1.6, 71,   9,  -7, 7, 29.1,⑧④⑤, 7, 7,Ｇエメラルヒマワリ, 57,幸英明, 1.6, 53,   0,  -4, 7, 54.7,④④⑤
 8,11,Ｆフィエルテ, 52,松山弘, 1.3, 56,  -7,*  1,13,150.2,⑫⑬⑩, 8, 6, ナガラキャスタｰ,---,川島信, 5.5, 35,  -9, -25, 9,109.6,⑨⑨⑨, 8, 9,Ｅスペルヴィア, 73,川田将, 2.6, 63,* 10, -19, 4, 10.5,①①①,,,,,,,,,,,,
 9, 4,Ｏポリアフ,-48,後藤浩, 1.6, 49,  -5,  -7,10, 21.4,④⑥⑧, 9, 9, イナズマディオｰネ,---,藤田伸, 6.0, 29,  -4, -41, 6, 21.7,④⑥⑧, 9, 4,Ｈワンダｰパラジｰノ, 65,義英真, 3.0, 60,   6, -13, 9,135.8,⑦⑨⑨,,,,,,,,,,,,
10, 6,Ｇニシノクラレット, 51,高倉稜, 1.8, 52,  -4,  -9, 4,  6.5,⑤⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, 1,Ｉクリオロ, 49,国分恭, 2.6, 45,  -7, -10,15,220.9,⑩⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 2,Ｋニホンピロアモｰレ, 41,酒井学, 2.6, 45,  -7, -11,14,189.8,⑧⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,Ｍインシグニスブルｰ, 39,北村友, 2.7, 43,  -6, -13, 7, 12.8,⑨⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｎスギノグラｰス,-15,和田竜, 6.9, 21, -14, -35,12,135.5,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
