15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄエグランティエ, 52,石橋脩,, 52, -10,*  3, 3,  5.9,⑤⑤⑤, 1, 9, ハッピｰサｰクル,---,戸崎圭,, 61,  -7,*  4, 3,  5.8, ⑥⑦, 1,10,Ｅヴェアリアスサマｰ, 65,三浦皇,, 68,*  8,   3, 7, 19.2, ①①, 1, 1,Ｆモｰリス, 80,戸崎圭,, 94,  -6,* 31, 1,  1.5,⑩⑪⑪
 2, 9,Ｃモアアピｰル, 53,吉田豊, 0.2, 50, -11,*  3, 2,  2.9,⑦⑦⑦, 2,10, ディスティニｰガイ,---,岩部純, 0.0, 62,* -4,*  2,15,141.1, ①①, 2,12,Ｂスズカオｰショウ, 72,大野拓, 0.3, 65,   5,   4, 6,  7.3, ⑤⑤, 2,11,Ｃダイワリベラル, 83,三浦皇, 0.1, 88,*  0,  18, 3,  7.0,②②②
 3,14,Ｂバトルヴィゴｰレ, 58,木幡初, 0.3, 51,* -9,  -1, 7, 31.5,②②②, 3,16, タイセイストｰム,---,三浦皇, 0.0, 62,* -6,*  3, 2,  3.8, ③③, 3, 8,Ｉサクラエルカミｰノ, 63,戸崎圭, 0.4, 64,   6,   3, 4,  5.8, ④②, 3, 6,Ｉサムソンズプライド, 78,田辺裕, 0.3, 85,*  0,  14, 5, 12.9,①①①
 4, 5,Ａカスミチャン, 64,戸崎圭, 0.6, 48,* -8,  -4, 1,  2.4,③③③, 4, 8, デイトナ,---,江田照, 1.1, 51,* -5,  -7, 5, 11.9, ②②, 4,15,Ｃドラゴンビュｰティ, 72,武士沢, 0.6, 62,  -7,* 12, 3,  5.8, ⑮⑮, 4, 3,Ｅベストドリｰム, 81,柴田善, 0.3, 89,  -4,  23, 7, 30.3,⑥⑧⑦
 5, 1,Ｋメイロｰゼズ, 41,井上敏, 0.9, 49, -13,*  0,11, 78.7,⑨⑪⑩, 5, 2, デイトリッパｰ,---,横山和, 1.4, 50, -13,  -2, 4,  7.6, ⑬⑬, 5, 4,Ｏジャズダンサｰ, 58,木幡初, 0.6, 63,   0,   6,13, 79.2, ⑧⑧, 5, 4,Ｋジャｰエスペランサ, 69,吉田豊, 0.4, 86,  -1,  16,11,230.5,③④④
 6, 6,Ｉショｰラファｰル, 44,田辺裕, 1.1, 45, -11,  -5, 6, 19.2,⑮⑨⑧, 6,12, サンマｰシャル,---,黛弘人, 1.5, 51, -10,  -4, 7, 25.1, ⑪⑪, 6,16,Ｄダイメイリシャｰル, 69,井上敏, 0.6, 63,*  6,   0, 2,  5.4, ③④, 6, 5,Ａシベリアンスパｰブ, 86,田中勝, 0.5, 84,*  0,  13, 4, 11.7,⑤③③
 7, 2,Ｇハニｰファンタジｰ, 47,石川裕, 1.2, 44, -10,  -8,10, 63.9,④④④, 7,15, コマアルカンシエル,---,石橋脩, 1.6, 48,  -6,  -9, 9, 46.1, ⑤⑤, 7,14,Ｎダテノトライアンフ, 60,柴田大, 0.7, 63,  -1,   6,10, 43.7, ⑩⑪, 7, 2,Ｄコｰディリア, 81,石川裕, 0.6, 83,  -3,  16, 8, 46.8,④⑤⑤
 8,13,Ｆサリｰシャッセ, 49,木幡初, 1.6, 43, -11,  -9, 8, 48.3,⑧⑧⑨, 8, 1, イントゥイシオン,---,柴田大, 1.7, 47,  -7, -11, 6, 23.1, ④④, 8, 3,Ｇカレイファンタジア, 64,田中勝, 0.8, 62,   2,   3, 5,  5.9, ⑦⑦, 8, 8,Ｇキッズニゴウハン, 79,江田照, 0.8, 80,  -3,  14, 9, 98.3,⑪⑦⑥
 9,12,Ｎナノハナ, 37,二本柳, 1.7, 43, -14,  -3,12,102.1,⑯⑯⑫, 9, 5, ブラウンルランシｰ,---,丸山元, 1.8, 45,  -9, -10,13, 94.1, ⑧⑥, 9,13,Ｍミュゼミランダ, 60,丸田恭, 0.9, 60,  -5,*  9, 8, 22.2, ⑯⑯, 9, 7,Ｂトレクァルティスタ, 84,柴山雄, 0.8, 81,  -4,  15, 2,  6.0,⑧⑨⑧
