15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｌマッシヴランナｰ, 44,藤岡佑,, 59,   1,*  5, 6,  9.2,②④④, 1, 8,Ａサトノアッシュ, 72,バルジ,, 62,* -8,*  0, 2,  3.9,④⑤⑤, 1, 2,Ｆスズカシャｰマン, 70,横山典,, 74,* -4,   9, 3,  7.6,③④③, 1, 4,Ｃアルティマプリンス, 75,岩田康,, 75,*  8,  -3, 1,  3.7, ①①
 2, 7,Ｈタガノフォｰエバｰ, 54,城戸義, 0.1, 61,*  2,   2, 1,  3.5,③②②, 2, 1,Ｄアドマイヤスカイ, 58,岩田康, 0.0, 63, -11,*  5, 5,  8.6,⑤⑥⑥, 2,12,Ａフェイブルネｰジュ, 80,デムｰ, 0.2, 75,  -8,* 13, 1,  2.2,⑨⑨⑨, 2, 5,Ｅイントロダクション, 71,デムｰ, 0.0, 76,*  6,*  1, 3,  5.7, ⑤③
 3,15,Ｃシルバｰソｰド, 61,松山弘, 0.2, 62,*  3,   1, 2,  4.3,①①①, 3, 4,Ｆニｰマルキング, 54,蛯名正, 0.4, 59, -10,  -2, 4,  7.0,⑦⑦⑦, 3,14,Ｌレインボｰラヴラヴ, 66,津村明, 0.2, 71,* -4,   5, 5, 12.0,②②②, 3,10,Ｇポップジェムズ, 71,四位洋, 0.3, 73,*  7,  -4, 8, 21.8, ④⑤
 4, 4,Ｂヴェリテ, 63,吉田隼, 0.3, 58,   1,   3, 5,  8.7,⑤⑤⑤, 4, 2,Ｌキタノリュウセイ, 45,勝浦正, 0.4, 60, -12,*  2, 7, 22.8,⑪⑩⑪, 4,10,Ｋシュヴァリエ, 67,小崎綾, 0.3, 71,  -6,   7,12, 43.1,④⑤⑤, 4, 6,Ｄヒシワイルド, 74,吉田隼, 0.3, 70,   3,*  1,11, 47.7, ⑧⑥
 5,11,Ａマイネルヴォｰダン, 64,柴田大, 0.6, 59,*  3,  -3, 4,  8.1,④③③, 5,15,Ｋゼイロングトゥビｰ, 47,西田雄, 0.5, 55,* -8,  -8,14,168.3,⑥③③, 5, 6,Ｅバトルジェジェジェ, 70,蛯名正, 0.4, 74,  -8,  10, 7, 19.2,⑬⑩⑩, 5,11,Ｈサフランスカイ, 67,蛯名正, 0.7, 67,   2,  -3, 6, 14.0, ⑨⑨
 6,12,Ｋクロイツェル, 52,デムｰ, 0.7, 58,   0,   2, 3,  5.1,⑫⑩⑦, 6, 5,Ｃジョヴィアル, 63,吉田隼, 0.6, 54, -12,  -3, 9, 26.4,⑫⑪⑧, 6,16,Ｎアラフジ, 63,勝浦正, 0.4, 70,* -4,   3, 9, 22.1,⑤③④, 6, 9,Ｍクｰルジョジョ, 64,松田大, 0.7, 68,   4,  -5,10, 34.4, ⑥⑦
 7, 3,Ｅバイカ, 59,勝浦正, 0.7, 58,  -2,*  5, 8, 25.2,⑭⑭⑬, 7,11, コｰトオブアｰムズ,---,川須栄, 0.7, 56, -14,*  0, 6, 22.1,⑬⑫⑫, 7, 5,Ｃトウカイセンス, 74,藤岡佑, 0.4, 73,  -9,* 13, 6, 17.1,⑫⑫⑫, 7, 8,Ｌアイファｰマシェリ, 65,川田将, 0.9, 66,*  6, -11, 7, 16.5, ③④
 8, 8,Ｉテイエムトラネコ, 53,小崎綾, 0.9, 59,  -3,*  6,12,133.5,⑬⑮⑭, 8,16,Ｇサンチェロキｰ, 53,田中博, 0.9, 53, -14,  -2, 8, 23.4,⑩⑬⑬, 8,13,Ｇマナオラナ, 68,城戸義, 0.5, 67,* -1,  -2,11, 41.7,①①①, 8, 1,Ｊノｰブリｰ, 66,藤岡佑, 1.0, 60,  -4,*  1,13, 71.5, ⑮⑭
 9,14,Ｆロｰドステルス, 58,横山和, 1.0, 58,*  2,  -4,13,163.7,⑥⑥⑥, 9,14,Ｉサンライズフレｰズ, 51,松山弘, 0.9, 55, -14,  -2,10, 31.3,⑭⑭⑭, 9,15,Ｈエリンジュｰム, 68,黛弘人, 0.7, 67,  -7,   3,13, 57.7,⑩⑥⑦, 9,13,Ｎデンコウウノ, 60,鮫島良, 1.1, 61,  -1,  -4,12, 61.6, ⑬⑬
10,10,Ｄカラｰラビアンコ, 59,岩田康, 1.0, 56,   1,  -2, 7, 14.5,⑪⑧⑨,10, 7, ドリｰムシュｰタｰ,---,中谷雄, 1.0, 50, -12,  -8,11, 34.9,⑨⑨⑩,10, 7,Ｂヴィンテｰジロｰズ, 76,岩田康, 0.7, 67,  -8,   5, 2,  6.5,⑥⑦⑥,10, 2,Ｑマダムリシェス, 56,川須栄, 1.1, 61,   0,  -4,18,294.3, ⑫⑫
