15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄヴァロｰア, 56,藤田伸,, 62,  -5,*  3, 9, 37.3, ⑤④, 1, 4, ネオヴァシュラン,---,武豊  ,, 63,*  7,  -8, 1,  2.3,①①①, 1, 3,Ｊレッドセイリング, 62,浜中俊,, 71,* -3,* 10, 8, 19.8, ①①, 1, 8,Ｃコナブリュワｰズ, 81,武豊  ,, 83,* 14,   1, 1,  4.8, ④③
 2,14,Ｃシゲルゴホウサイ, 58,幸英明, 0.1, 62,* -2,   2, 5, 14.7, ③③, 2, 1, デンコウシュク,---,池添謙, 0.0, 66,*  6,* -6, 9, 26.6,②②②, 2, 8,Ｆヒデノヒロイン, 66,幸英明, 0.4, 69,  -5,* 11, 6, 14.4, ④④, 2,16,Ｉフロアクラフト, 77,シュタ, 0.0, 82,  11,   4, 3,  6.0, ⑤⑥
 3, 1,Ｆプリュクベル, 52,藤岡康, 0.3, 58,* -1,  -3,10, 44.7, ①①, 3,13, カフジエンパイア,---,幸英明, 0.8, 60,   2,* -7, 7, 19.8,⑧⑦⑥, 3,13,Ａサウンドアドバイス, 76,武豊  , 0.5, 66,* -4,   8, 1,  2.6, ③②, 3, 6,Ｄトｰセンソレイユ, 81,秋山真, 0.2, 79,   9,*  5, 2,  5.0, ⑪⑩
 4, 8,Ａショウナンサアｰダ, 65,武豊  , 0.4, 56,  -5,   0, 1,  2.0, ⑥⑥, 4, 9, スズカセルリアン,---,太宰啓, 1.2, 62,  -1,* -3, 6, 17.7,⑨⑨⑨, 4,12,Ｅレディカリビアン, 70,国分優, 0.8, 66,  -7,  10, 7, 17.3, ⑨⑧, 4, 4,Ｅサマｰルナ, 79,古川吉, 0.2, 81,* 15,  -4, 6,  9.9, ②②
 5,12,Ｉソラｰナ, 49,シュタ, 0.7, 56,  -7,   0, 6, 17.9, ⑩⑧, 5, 7, メイショウクニツグ,---,武幸四, 1.4, 58,   4, -13,10, 51.9,⑤⑤⑤, 5,11,Ｄボストンビリｰヴ, 70,義英真, 0.9, 64, -11,* 13, 4,  7.1, ⑫⑪, 5, 7,Ｇゴｰルデンムｰン, 78,福永祐, 0.2, 78,  10,   2,13, 44.4, ⑥⑤
 6, 9, ゴｰルデンレコｰド,---,池添謙, 0.7, 55, -14,*  6, 8, 32.5, ⑬⑬, 6, 2, ムンドゥｰス,---,荻野琢, 1.6, 55,   0,  -8,14,155.3,⑩⑩⑧, 6, 9,Ｂテｰオｰレイチェル, 76,秋山真, 0.9, 64,  -5,   6, 3,  6.2, ⑤③, 6, 2,Ｏロｰガンサファイア, 72,藤岡康, 0.2, 79,   6,*  9, 4,  7.4, ⑭⑮
 7,13,Ｂドリス, 62,酒井学, 0.8, 54,* -2,  -6, 2,  4.1, ②②, 7,11, アウゲンパワｰ,---,国分優, 2.6, 50,  -5,  -8,15,168.1,⑫⑬⑫, 7, 7,Ｃアリエスムｰン, 71,加藤祥, 0.9, 64,* -4,   4, 2,  3.8, ②⑤, 7, 5,Ｎフェブノヘア, 73,太宰啓, 0.4, 77,  10,   0,16,153.1, ⑦⑦
 8,11,Ｈダンシング, 50,秋山真, 0.9, 52,  -9,  -1, 7, 25.6, ⑪⑨, 8,14, グランアトス,---,藤岡康, 2.7, 46,   4, -27, 2,  4.6,④④④, 8, 2,Ｈディオレサンス, 63,和田竜, 1.1, 63,  -9,   9, 9, 77.6, ⑪⑩, 8,10,Ｌプリンセスジャック, 75,幸英明, 0.5, 75,   6,   4,10, 30.7, ⑮⑬
 9, 5,Ｅメイショウヒルガオ, 54,武幸四, 1.0, 53, -11,   1,11, 52.1, ⑫⑫, 9, 8, ワンダｰヴィグルｰ,---,岩崎翼, 2.8, 48,*  5, -30, 5, 15.9,③③③, 9,10,Ｉウイングパラダイス, 62,三津谷, 1.2, 61,  -7,   5,10, 86.0, ⑥⑥, 9,11,Ｆボンジュｰルココロ, 79,和田竜, 0.6, 75,  10,  -1,12, 40.3, ⑧⑧
