15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,千葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａジョリｰアップ, 68,石川裕,, 66,*  2,*  3, 1,  2.0, ①①, 1, 5, ピアシングステア,---,木幡初,, 68,* -1,   7,11, 64.9,②②②, 1, 5,Ｄマルマロス, 77,三浦皇,, 76,* 12,  -4, 5,  8.0,②②②, 1, 6,Ｐシゲルカガ, 73,勝浦正,, 80,*  7,   9, 3,  7.5, ①①
 2,10,Ｂラミアカｰサ, 61,井上敏, 0.8, 61,  -5,*  3, 3,  7.1, ⑩⑨, 2, 4, ジャイロスコｰプ,---,戸崎圭, 0.0, 67,* -2,   7, 1,  2.6,①①①, 2,13,Ａドラゴンズタイム, 80,吉田豊, 0.2, 76,  10,*  3, 2,  3.6,⑫⑩⑦, 2,14,Ｆナンチンノン, 86,川島信, 0.0, 80,*  5,  11, 5, 10.5, ③③
 3, 6,Ｇオｰゴンマリア, 47,大野拓, 1.0, 58,   0,  -3,10, 95.9, ④④, 3,13, ナナイロボタン,---,田辺裕, 0.4, 66,  -5,* 11, 2,  5.0,⑭⑩⑧, 3,12,Ｂメイスンキャプテン, 78,田辺裕, 0.4, 74,   8,*  6, 3,  5.3,⑬⑫⑪, 3,13,Ｃエｰシンビｰトロン, 90,福永祐, 0.0, 81,   1,  16, 7, 18.7, ⑧⑥
 4, 4,Ｉグロｰリアスアｰク, 46,柴田大, 1.0, 58,   0,  -3, 8, 73.4, ②②, 4,11, ラジャスタン,---,松岡正, 0.6, 62,  -4,   6, 9, 31.7,⑩⑥⑤, 4, 4,Ｃオリオンザムｰン, 78,松岡正, 0.7, 71,  10,  -4, 7, 21.1,⑩⑨⑧, 4,12,Ａレｰザｰバレット, 92,横山典, 0.0, 79,  -6,* 22, 1,  2.5, ⑭⑮
 5, 1,Ｃニシノバランス, 61,田辺裕, 1.4, 54,  -1,  -5, 2,  5.2, ⑦⑤, 5,12, リブレドバンク,---,三浦皇, 0.8, 64,  -6,*  9, 3,  6.2,⑧⑪⑨, 5,14,Ｅオルドリン, 74,バルジ, 0.8, 72,  11,  -6, 4,  5.7,⑤④③, 5, 1,Ｉサクラレグナム, 84,内田博, 0.1, 79,*  4,  11,13, 42.7, ②②
 6,14,Ｅレｰヴシャルマン, 55,三浦皇, 1.4, 54,  -3,  -4, 6, 11.4, ⑨⑧, 6, 9, ティムシェル,---,石川裕, 0.9, 60,* -2,   0, 5,  8.6,⑪③③, 6, 2,Ｌピンクシャドウ, 62,江田照, 1.1, 69,* 13, -14, 6, 19.9,①①①, 5, 5,Ｅメイショウノｰベル, 88,津村明, 0.1, 78,  -2,  17, 2,  5.4, ⑪⑩
 7, 9, サｰストンカインド,---,柴田善, 1.4, 54, -10,*  2,11,101.4, ⑭⑬, 7, 6, ジｰガｰルｰジュ,---,丸田恭, 1.3, 57,  -5,   3,10, 60.6,⑬⑨⑦, 7, 8,Ｎアイアムライジング, 55,丸田恭, 1.6, 66,  10, -11,13,211.7,⑦⑧⑥, 7, 3,Ｄシセイオウジ, 88,丸田恭, 0.2, 78, -10,* 23, 9, 30.4, ⑯⑭
 8, 3,Ｊナゲットレイツ, 45,長岡禎, 1.4, 54,  -2,  -5,15,239.8, ⑥⑦, 8, 7, ティｰスワロ,---,柴山雄, 1.7, 55,  -6,   3,15,166.1,⑫⑫⑫, 8, 7,Ｇマッチレスヒｰロｰ, 69,柴田大, 2.0, 66,  10, -16, 1,  3.5,⑧⑤⑤, 8, 8,Ｌミヤジエルビス, 82,戸崎圭, 0.2, 78,  -4,  18, 4,  8.3, ⑬⑬
 9,13,Ｄレディゴｰラウンド, 57,横山和, 1.6, 54,  -4,  -4, 4,  7.7, ⑪⑪, 9, 8, スズヨロｰズ,---,柴田善, 1.9, 56,  -7,   1,12, 70.3,⑮⑭⑩, 9, 6,Ｋミルノワｰル, 63,柴山雄, 2.2, 63,   9, -15,11, 54.8,⑥⑦⑩, 9, 4,Ｂキョウエイアシュラ, 90,松岡正, 0.5, 75,  -5,  16,10, 36.9, ⑫⑫
10,12,Ｋアズマタイムズ, 43,津村明, 2.1, 48,  -8,  -4,14,214.6, ⑫⑭,10,16, パフュｰマｰ,---,田中勝, 3.0, 48,* -2, -17, 4,  8.1,⑦④④,10,10,Ｆバンクシｰ, 70,井上敏, 2.3, 65,   7,  -7,10, 54.0,⑪⑬⑫,10, 9,Ｋドレッドノｰト, 83,木幡初, 0.7, 75,  -2,  12,15, 78.7, ⑨⑦
11, 7,Ｌトｰセンジュリア, 41,武士沢, 2.3, 46, -11,  -4,13,176.7, ⑬⑫,11, 1, ウエスタンジュリア,---,武士沢, 3.2, 48,  -9,  -4,14,155.3,⑯⑯⑭,11, 3,Ｊランドントウォｰク, 64,柴田善, 3.1, 60,  10, -25, 9, 46.0,④③④,11,11,Ｈアドマイヤサガス, 85,北村宏, 0.7, 75,   0,   9,12, 39.7, ⑦⑧
12, 2,Ｈハジメノイッポ, 47,松田大, 3.0, 40,  -2, -19,12,138.7, ⑤⑥,12,10, コトブキドリｰム,---,岩部純, 3.3, 45,  -4, -16, 6, 14.7,③⑤⑥,12, 9,Ｈアカデミックドレス, 68,北村宏, 3.3, 60,   9, -20,12, 61.6,⑨⑪⑬,12,15,Ｍカフェシュプリｰム, 82,川田将, 0.9, 73,   2,   6, 8, 21.6, ④⑤
13,16, エリｰアイズ,---,バルジ, 3.1, 39, -13,  -9, 9, 87.4, ⑮⑮,13, 2, アｰスライジング,---,内田博, 4.3, 39,  -8, -16, 7, 16.5,⑥⑮⑯,13,11,Ｍニュｰコネクション, 59,武士沢, 3.5, 58,   6, -14,14,301.7,⑭⑭⑭,13, 2,Ｊメイショウツチヤマ, 84,江田照, 1.0, 70,  -8,  14,16,250.8, ⑮⑯
14, 5,Ｍヘヴンアンドアｰス, 40,江田照, 3.3, 37,*  1, -24, 7, 64.2, ③③,14, 3, フクノアストライア,---,吉田豊, 4.4, 37,  -6, -20,13,108.5,⑨⑬⑮,14, 1,Ｉユニフィケｰション, 66,大野拓, 3.9, 58,  11, -30, 8, 45.0,③⑥⑨,14, 7,Ｇタイセイファントム, 86,三浦皇, 1.0, 73,  -2,  10, 6, 15.7, ⑩⑪
