15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,外房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂポッドガゼｰル, 50,三浦皇,, 61,*  5,* -6, 4,  9.5,③②②, 1,11, デピュティプライム,---,デムｰ,, 63, -12,* 11, 1,  3.0, ⑤⑤, 1, 8,Ｉクリノスイｰトピｰ, 64,伴啓太,, 71,* -4,   6,15, 59.4, ②②, 1, 8,Ｂエネアド, 78,デムｰ,, 74,*-12,  18, 5,  9.3,⑦④⑤
 2,12,Ｈカムイ, 40,柴田善, 0.5, 58,*  5, -10, 9,112.1,④③③, 2, 5, イザ,---,伴啓太, 0.8, 57, -10,*  2, 3,  6.3, ③③, 2, 6,Ｈアｰスプレイ, 67,丸田恭, 0.0, 72,  -7,   9, 9, 16.2, ⑦⑥, 2, 5,Ｄサトノアッシュ, 77,蛯名正, 0.0, 75,*-13,  16, 1,  4.2,②②②
 3, 9,Ｄアシャカボラｰル, 48,伴啓太, 0.5, 61,   3,* -7, 6, 17.9,⑨⑥⑤, 3, 7, ケイジｰファルコン,---,石川裕, 1.1, 56,* -4,  -5, 4,  8.2, ①①, 3,11,Ｂオｰトクレｰル, 73,宮崎北, 0.0, 72,* -4,   7, 4,  7.9, ③③, 3,15,Ｆゴットフリｰト, 76,田辺裕, 0.0, 75, -16,* 20, 4,  6.3,⑧⑨⑩
 4, 7,Ｃトラストナイト, 48,吉田豊, 0.8, 55,   4, -11, 3,  8.3,⑤④④, 4, 9, コパノチャンス,---,岩田康, 1.5, 50,* -6,  -8, 2,  3.5, ②②, 4,14,Ｆサダムリスペクト, 71,吉田隼, 0.1, 70,  -8,   9, 3,  5.6, ⑧⑨, 4, 9,Ｉレインボｰラヴラヴ, 70,内田博, 0.2, 72,*-13,  13,10, 28.7,③③④
 5,14,Ｋビレッジゴｰルド, 29,柴田大, 1.8, 52,  -3,* -5, 5, 17.4,⑭⑫⑨, 5, 1, テンノサクラコ,---,田辺裕, 1.9, 45, -13,  -5, 8, 23.4, ⑦⑦, 5, 5,Ｌシゲルカゼノボン, 62,松岡正, 0.1, 70,* -2,   2, 1,  4.4, ①①, 5, 4,Ｌダイワエキスパｰト, 68,三浦皇, 0.2, 74, -15,  18,13, 54.9,⑨⑦⑧
 6,13,Ｇニシノライト, 41,江田照, 2.0, 49,  -1,  -9,12,193.1,⑫⑨⑧, 6, 3, ハマナス,---,三浦皇, 2.3, 43, -16,  -5, 6, 13.1, ⑩⑧, 6, 1,Ｃコスモイノセント, 73,木幡初, 0.1, 72, -10,* 11, 5, 10.9, ⑨⑧, 6, 3,Ｈイレプレイスブル, 73,横山和, 0.2, 70,*-11,  10,12, 34.4,①①①
 7, 8,Ａクリムゾンバロｰズ, 61,田辺裕, 2.8, 41,*  7, -33, 1,  1.4,②①①, 7, 2, ジェイケイウィン,---,柴山雄, 2.4, 41, -13,  -9,13, 98.1, ⑥⑥, 7,16,Ｍシンラバンショウ, 62,デムｰ, 0.2, 68,  -5,   5, 6, 13.2, ⑥⑦, 7, 1,Ａジャポニカｰラ, 83,横山典, 0.2, 76, -18,* 24, 2,  5.4,⑬⑬⑪
 8, 5,Ｅリフリジェレｰタｰ, 43,黛弘人, 3.2, 41,   3, -28, 8, 48.7,⑦⑦⑥, 8,15, ヒロノブライアン,---,柴田大, 2.8, 40, -18,  -7, 9, 33.1, ⑭⑬, 8, 3,Ｇスプリングサヴァン, 69,吉田豊, 0.4, 69, -13,* 11,11, 37.8, ⑫⑪, 8,11,Ｅエミネスク, 76,田中勝, 0.3, 72, -16,  16, 7, 13.7,⑥⑧⑥
 9, 2,Ｉサンマルトゥｰレ, 37,吉田隼, 4.6, 34,  -4, -27,10,121.9,⑪⑬⑫, 9,10, ウジヒメ,---,武士沢, 2.8, 38, -19,  -7,12, 80.9, ⑫⑪, 9,15,Ｅブロンディジェニｰ, 72,内田博, 0.4, 66,* -4,   1, 7, 13.4, ④④, 9,12,Ｊレオフラッパｰ, 70,大野拓, 0.4, 73, -20,* 21,11, 33.2,⑭⑭⑭
