15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａドウカンヤマ, 64,蛯名正,, 69,*  2,*  7, 1,  1.6, ③③, 1,15, リボンドグレｰプス,---,デムｰ,, 52,* -7,  -8, 1,  1.5, ①①, 1, 4,Ｆスタｰファセット, 71,デムｰ,, 76,   1,* 12, 4,  6.1,⑪⑪④, 1, 3,Ｆキャレモンショコラ, 75,北村宏,, 82,*  5,   9, 5,  7.7, ①①
 2, 3,Ｄタイセイラルｰナ, 55,北村宏, 0.0, 69,*  4,*  5, 3,  7.2, ②②, 2,12, チタンクレバｰ,---,吉田豊, 0.1, 52,* -8,  -8, 8, 36.3, ②②, 2, 8,Ｄチョコレｰトバイン, 74,ルメｰ, 0.1, 76,   5,   5, 2,  3.5,⑦⑥⑥, 2, 6,Ｐバトルムｰングロウ, 68,松山弘, 0.3, 79,*  5,   5,13, 47.3, ②②
 3,10,Ｃノボホウセイ, 55,武豊  , 1.1, 58,   0,  -1, 2,  5.3, ⑥⑥, 3, 4, メンデンホｰル,---,四位洋, 0.3, 48, -17,* -4, 2,  7.9, ⑥⑤, 3, 1,Ｈロンバルディア, 68,岩田康, 0.3, 73,   5,   1, 3,  5.5,⑤④⑤, 3,12,Ｉハピネス, 73,武豊  , 0.3, 78,   2,   9,10, 24.4, ⑥⑥
 4, 1,Ｎシゲルヒラマサ, 30,江田照, 1.1, 58,   1,  -1,11,165.4, ④④, 4, 5, ショコラ,---,黛弘人, 1.1, 40, -28,* -4,12, 75.4, ⑪⑩, 4, 5,Ｂクリノハッチャン, 74,嶋田純, 0.3, 76,  -4,* 15, 8, 27.7,⑬⑭⑭, 4, 4,Ｂスマｰトプラネット, 78,丸田恭, 0.4, 78,  -2,  12, 3,  6.9, ⑧⑧
 5,12,Ｊシゲルクロダイ, 44,吉田豊, 1.2, 56,  -2,   1, 6, 20.1, ⑧⑧, 5, 8, ノｰブルオｰロラ,---,江田照, 1.3, 35,*-13, -21, 5, 17.6, ③③, 5,15,Ａマリｰズケイ, 76,蛯名正, 0.4, 74,   3,   2, 1,  3.5,⑨⑧⑧, 5, 8,Ｎハナフブキ, 69,蛯名正, 0.5, 78,  -4,  12, 9, 22.3, ⑩⑫
 6, 5,Ｂサノココ, 60,デムｰ, 1.2, 56,   0,  -2, 4,  9.2, ⑤⑤, 6, 9, シゲルメジロ,---,丸田恭, 1.5, 32, -15, -20, 3,  8.4, ⑤④, 6,16,Ｇマイネプレセア, 68,柴田大, 0.5, 73,   2,   4,12, 92.4,⑩⑨⑩, 6, 2,Ｄダノンマッキンレｰ, 76,浜中俊, 0.5, 75,   2,   7, 2,  6.7, ④④
 7, 6,Ｌラキラキガｰル, 38,嶋田純, 1.7, 54,  -5,   1,14,225.2, ⑫⑩, 7, 1, ロイヤルビｰナス,---,石川裕, 1.5, 34, -25, -11,10, 54.3, ⑨⑧, 7,13,Ｉボルゲｰゼ, 68,北村宏, 0.5, 75,  -7,* 16, 7, 20.8,⑯⑯⑮, 7, 1,Ｍボブキャット, 70,石橋脩, 0.5, 76,   1,   7,11, 41.3, ⑤⑤
 8, 4,Ｋプレミアムデス, 41,柴田大, 2.3, 49,  -5,  -6,10, 64.4, ⑪⑨, 8, 3, セイカマルカｰト,---,吉田隼, 1.6, 33, -29,  -9,15,113.2, ⑫⑪, 8,10,Ｅフィフスセント, 72,戸崎圭, 0.6, 69,   5,  -4, 6, 17.0,④⑤⑦, 8, 7,Ａサザンライツ, 80,デムｰ, 0.6, 74,  -4,  11, 1,  3.4, ⑨⑦
 9, 2,Ｈグリマｰプリンセス, 46,石川裕, 2.3, 50,*  6, -15, 5, 19.2, ①①, 9, 6, レインボｰフェスタ,---,武士沢, 1.6, 34, -25, -13,11, 64.0, ⑩⑫, 9, 9,Ｋアサクサゴｰルド, 63,藤岡康, 0.8, 70,  -2,   5,16,304.4,⑫⑫⑪, 9,15,Ｇタカラジェニファ, 75,戸崎圭, 0.6, 74,   0,   7, 8, 18.3, ⑦⑨
