15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,久多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａソｰディヴァイン, 68,川田将,, 60,*  7,  -5, 1,  1.3, ①①, 1, 4, オｰマイガイ,---,岩崎翼,, 68,*  1,*  1, 4,  9.9, ④②, 1,11,Ｃシンダｰズ, 73,デムｰ,, 69,   4,*  4, 4,  7.5, ⑪⑩, 1,15,Ｄベッラヴォｰチェ, 78,福永祐,, 76,   3,*  9, 8, 17.7, ⑬⑭
 2, 8,Ｂメイショウノボサン, 61,太宰啓, 0.2, 60,*  7,  -5, 3, 12.9, ②②, 2, 3, キクノレジェ,---,岩田康, 0.5, 62,  -2,*  1, 9, 38.6, ⑧⑦, 2, 2,Ｎライブリヘイロｰ, 58,水口優, 0.5, 66,   1,*  4,16,164.5, ⑬⑪, 2, 1,Ｌレッドカｰラ, 71,藤懸貴, 0.0, 79,   6,   6, 6, 14.3, ⑤⑥
 3, 5,Ｊカラクプア, 38,ルメｰ, 0.3, 55,  -4,*  6, 4, 13.6, ⑩⑨, 3, 1, ダンツエンペラｰ,---,酒井学, 0.6, 61,  -4,*  2, 8, 36.5, ⑨⑧, 3, 7,Ｄビｰチパラソル, 72,鮫島克, 0.5, 65,   9,  -7, 3,  5.9, ⑥③, 3,14,Ｂセトノフラッパｰ, 81,古川吉, 0.0, 76,*  8,   2, 9, 17.9, ④⑤
 4,12,Ｆサクレメジャｰ, 43,岩田康, 1.3, 49,*  6, -15, 5, 23.6, ③③, 4,10, エリシェヴァ,---,川田将, 0.8, 61,*  3,  -8, 2,  4.5, ①①, 4,12,Ｈサンマルアリュｰル, 68,武豊  , 0.5, 65,   0,*  4, 7, 20.6, ⑭⑭, 4, 5,Ｋムｰンエクスプレス, 71,松山弘, 0.1, 77,*  9,   1, 4,  7.8, ③④
 5, 7,Ｃヒロブレイブ, 54,田中健, 1.6, 45,  -1,  -9, 7, 49.5, ⑧⑦, 5,12, ロケットビｰン,---,デムｰ, 1.6, 52,  -2, -10, 1,  1.7, ⑦④, 5,14,Ｆメイショウルンバ, 69,高田潤, 0.6, 63,  -4,*  8, 9, 37.1, ⑮⑮, 5, 2,Ｍタガノリバレンス, 71,小牧太, 0.1, 75,   3,   8,15, 75.9, ⑩⑪
 6, 2,Ｌサカジロチュウオｰ, 27,鮫島克, 1.7, 41,  -5,  -4, 8, 71.9, ⑪⑪, 6, 2, クリスタルキャノン,---,川須栄, 1.7, 53,  -6,  -4,15,168.5, ⑫⑪, 6, 4,Ｉベルディｰヴァ, 67,福永祐, 0.6, 65,   5,  -3, 6, 17.0, ⑧⑧, 6, 3,Ｈブリクスト, 75,ルメｰ, 0.1, 75,   2,* 10, 3,  6.2, ⑭⑬
 7,11,Ｅサルドナ, 50,デムｰ, 1.9, 43,   3, -16, 2,  4.2, ⑥⑤, 7, 6, ベルウッドエフディ,---,幸英明, 2.0, 49,  -8,  -4, 7, 33.1, ⑭⑬, 7, 8,Ｇアンスタンフィｰル, 68,森一馬, 0.6, 66,   5,  -3,13,104.5, ⑨⑨, 7,10,Ａアサクサティアラ, 81,デムｰ, 0.3, 72,* 10,  -3, 2,  4.2, ⑧③
 8, 1,Ｋシゲルサンマ, 29,酒井学, 2.1, 42,   4, -20,10,112.9, ④④, 8, 7, エエカゲンニセイジ,---,三津谷, 2.2, 47,  -7,  -8,12, 82.9, ⑬⑫, 8, 5,Ａノボリレジェンド, 76,川田将, 0.7, 67,* 12, -13, 1,  2.5, ①①, 8,13,Ｏアドマイヤゴッド, 70,藤岡康, 0.3, 73,   7,   1, 5, 10.1, ⑦⑧
 9, 6,Ｉタガノミシュラン, 38,幸英明, 2.1, 43,   4, -18, 9, 84.3, ⑤⑥, 9, 9, トリプライト,---,松若風, 2.3, 48,  -5, -11, 6, 21.9, ⑩⑩, 9, 3,Ｋコマノサラサ, 65,藤岡康, 0.9, 63,   6,  -8,12, 74.3, ⑦⑤, 9, 7,Ｒウインスプラッシュ, 60,中井裕, 0.3, 75,* 11,  -5,14, 75.4, ①①
