15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａジュアンマリエ, 50,戸崎圭,, 51,   3, -12, 1,  1.5, ⑥③, 1, 7, サンヘレナ,---,松岡正,, 65,   2,*  0,11, 60.8, ⑩⑩, 1, 6,Ｄトルｰクマクト, 72,蛯名正,, 82,   2,* 14, 4,  8.8,⑨⑩⑪, 1, 1,Ｌレッドファルクス, 78,吉田豊,, 81,   4,  15, 4,  8.6, ⑤⑤
 2,15,Ｈケンコンイッテキ, 30,内田博, 0.0, 50,   3, -12, 3,  5.8, ⑤④, 2, 3, アジュｰルロｰズ,---,柴山雄, 0.0, 66,   1,*  3, 1,  4.2, ⑪⑪, 2,10,Ｊマイネルポルトゥス, 59,柴田大, 0.2, 76,*  4,   1, 9, 68.6,②②②, 2,16,Ｇノウレッジ, 81,蛯名正, 0.0, 81,*  8,   8, 6, 13.2, ①①
 3, 6,Ｋコパノリクエスト, 29,岩田康, 0.0, 50,*  5, -15, 8, 47.8, ②②, 3,16, トッコディルｰチェ,---,吉田豊, 0.2, 62,*  6,  -8, 4,  6.6, ②②, 3, 7,Ｆビレッジソング, 67,井上敏, 0.3, 76,   2,*  8, 8, 51.2,⑩⑧⑩, 3, 8,Ｊキタサンミカヅキ, 80,武士沢, 0.1, 81,   2,  16, 7, 22.9, ⑦⑦
 4, 9,Ｆヤマタケジャイアン, 38,岩部純, 0.3, 47,  -2,  -7,10, 92.5, ⑨⑦, 4,10, ロｰドゼフィｰル,---,石川裕, 0.3, 66,   5,  -6,15,168.4, ⑥⑥, 4, 3,Ａエバｰシャルマン, 79,デムｰ, 0.5, 72,   3,   4, 1,  2.1,⑪⑪⑨, 4, 6,Ｈアジアンテｰスト, 81,岩田康, 0.3, 78,   5,  10, 2,  4.0, ④④
 5, 4,Ｅタマムｰンフェイス, 40,津村明, 0.4, 43, -10,*  1, 6, 26.2, ⑫⑭, 5, 4, ラスベガスシチｰ,---,吉田隼, 1.5, 54,   3, -15, 3,  5.0, ⑨⑨, 5, 5,Ｇマイネルヴェルス, 66,丹内祐, 0.6, 70,*  6,  -7, 5, 12.8,①①①, 5, 2,Ｂアンズチャン, 85,三浦皇, 0.4, 80,  -3,* 19, 1,  2.6, ⑫⑫
 6,11,Ｄミステリオ, 43,田中勝, 0.5, 44, -10,*  1, 4, 15.4, ⑭⑬, 6,13, ロンドンタウン,---,柴田大, 1.6, 54,*  7, -21,10, 47.1, ①①, 6, 1,Ｅクラシックエｰス, 69,柴山雄, 0.7, 73,   3,   1, 6, 14.4,⑦⑨⑧, 6, 3,Ｉセイラ, 80,戸崎圭, 0.6, 79,  -5,* 21,10, 46.0, ⑮⑮
 7,10,Ｏシュガｰラッシュ, 12,石川裕, 0.6, 47,*  5, -20, 9, 56.5, ①①, 7,15, コパノミリアン,---,戸崎圭, 1.9, 53,  -5,  -5, 8, 14.8, ⑭⑭, 7, 2,Ｂスプレンデレ, 76,福永祐, 0.8, 70,   3,  -2, 3,  5.7,⑥⑥⑥, 7, 5,Ａメイショウオセアン, 87,横山典, 0.6, 75,   5,   7, 3,  7.8, ③③
 8,14,Ｎギブナッシンバック, 25,北村宏, 0.8, 44,   0, -15, 7, 33.2, ④⑥, 8, 6, シャインプラチナム,---,福永祐, 2.2, 49,   4, -22, 6, 10.1, ⑦⑦, 8, 9,Ｃミュゼダルタニアン, 74,内田博, 1.0, 69,   3,  -5, 2,  3.5,⑧⑦⑦, 8,12,Ｅアンリヴィｰルド, 82,福永祐, 0.7, 76,   1,  12,11, 48.6, ⑨⑧
 9, 3,Ｉカジノクイｰン, 29,柴山雄, 1.3, 37, -10,  -6, 5, 24.8, ⑬⑫, 9,12, タケルアロｰ,---,ルメｰ, 2.3, 51,   5, -24, 7, 14.6, ⑤⑤, 9, 4,Ｉジェイケイライアン, 61,江田照, 1.3, 65,   3,  -9, 7, 46.5,③④⑤, 9,15,Ｎダノンクリエｰタｰ, 76,大野拓, 0.8, 75,*  7,   3,12, 58.4, ②②
10,13,Ｇコントロｰルタワｰ, 34,伴啓太, 1.5, 38,  -6, -13,11, 98.7, ⑪⑩,10, 9, ワンダｰウノ,---,四位洋, 2.5, 49,  -2, -15, 5,  9.2, ⑫⑬,10,11,Ｈインスタントリｰ, 61,大野拓, 1.5, 64,*  4, -15,10, 70.1,④③③,10,13,Ｐモンテネオ, 74,柴田善, 0.8, 76,  -1,  14,14,141.8, ⑪⑪
11, 2,Ｃゴｰルドフィルド, 45,勝浦正, 1.6, 38,  -3, -16,12,140.8, ⑧⑧,11,14, ファニｰヒロイン,---,岩田康, 2.5, 47,*  6, -27, 2,  4.8, ④③,11, 8,Ｋダイワグロｰリｰ, 57,北村宏, 1.8, 61,*  4, -20,11,127.2,⑤⑤④,11, 7,Ｏサクセスフェイト, 74,石川裕, 0.9, 78,   1,  12,16,182.4, ⑧⑨
12, 5,Ｊカシノナイト, 29,野中悠, 2.1, 31, -16,  -6,13,155.4, ⑮⑮,12, 8, ウラワザ,---,横山典, 2.7, 44,  -1, -18, 9, 25.4, ⑬⑫,,,,,,,,,,,,,12,14,Ｆビッグリバティ, 82,嘉藤貴, 0.9, 74,   3,   7,13, 68.6, ⑥⑥
13, 8,Ｍサプｰルコンゴ, 25,石橋脩, 2.3, 31,  -8, -17,14,215.1, ⑩⑪,13,11, ゴｰランクシャス,---,江田照, 3.1, 42,   3, -29,13, 97.8, ⑧⑧,,,,,,,,,,,,,13,10,Ｋゲマインシャフト, 78,北村宏, 0.9, 76,  -3,  14, 9, 33.0, ⑭⑭
