15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂロッジポｰルパイン, 52,丹内祐,, 51,  -2,  -5, 2,  4.6, ⑤⑤, 1,16, ノｰモアゲｰム,---,石橋脩,, 50, -16,*  2, 8, 24.5, ⑫⑧, 1, 4,Ｃツクバアスナロ, 72,戸崎圭,, 77,   5,* 13, 5,  8.7,⑭⑭⑭, 1, 3,Ｅゴｰルドアクタｰ, 81,吉田隼,, 98,*  4,* 25, 1,  2.0,③③③
 2,11,Ａジュンザワｰルド, 59,北村宏, 0.0, 51,* -2,  -7, 1,  3.6, ③③, 2, 2, レディｰゴｰ,---,吉田豊, 0.3, 45,*-13,  -4, 1,  2.7, ①①, 2,12,Ｅディアコンチェルト, 69,大野拓, 0.2, 75,   7,*  7, 7, 13.8,⑫⑫⑪, 2, 7,Ｊサムソンズプライド, 74,吉田豊, 0.3, 94,*  5,  17, 8, 22.5,②②②
 3,14,Ｎシベリウス, 29,内田博, 0.3, 49,  -7,*  2,11, 84.5, ⑮⑮, 3, 8, ルルインザレイン,---,吉田隼, 0.6, 44,*-14,  -6, 2,  4.5, ③③, 3,13,Ｄニシノオタケビ, 71,内田博, 0.3, 74,   9,   1, 2,  6.1,⑧⑦⑦, 3, 1,Ａトゥインクル, 83,戸崎圭, 0.6, 94,   2,* 22, 2,  4.9,⑨⑨⑦
 4, 4,Ｊコスモヒドラ, 37,松岡正, 0.5, 47,  -5,  -5,15,218.6, ⑫⑩, 4,14, アッキｰ,---,中谷雄, 0.7, 44,*-14,  -6, 9, 28.7, ⑨⑤, 4,14,Ｂシャインアロｰ, 75,石橋脩, 0.4, 73,  11,  -3, 6, 11.4,⑥⑥⑥, 4, 4,Ｇショウナンバッハ, 79,幸英明, 1.0, 92,   3,  18, 3,  6.6,⑥⑦⑧
 5, 6,Ｆアッテンツィオｰネ, 42,戸崎圭, 0.6, 47,  -7,* -3, 3,  5.7, ⑬⑬, 5, 9, トモトモリバｰ,---,江田照, 0.8, 43, -18,* -3, 4, 11.6, ⑦⑩, 5,17,Ｆアｰトフェスタ, 69,三浦皇, 0.4, 72,   9,  -1,10, 35.1,⑨⑧⑧, 5, 8,Ｉエｰシングングン, 76,横山典, 1.0, 89,   2,  16, 6, 14.4,⑤⑤⑤
 6, 5,Ｍミュゼリバイアサン, 34,柴山雄, 0.6, 44,* -1, -13, 4,  7.3, ①①, 6,10, ポロス,---,西村太, 1.6, 36, -17, -10,12, 47.0, ⑧⑪, 6,10,Ｈナスノセイカン, 68,横山典, 0.5, 71,   7,   3, 8, 15.1,⑦⑨⑨, 6,10,Ｂアドマイヤバラｰド, 83,内田博, 1.2, 91,   0,  20, 7, 16.0,⑩⑩⑪
 7,12,Ｌサトノスピリット, 35,柴田善, 0.7, 45,  -4,  -8, 7, 11.6, ⑧⑧, 7, 1, カリｰナアスタｰ,---,横山典, 1.9, 33, -20, -10, 6, 17.2, ⑬⑫, 7, 1,Ｇマコトギンスバｰグ, 68,吉田豊, 0.5, 73,   5,   6, 3,  7.5,⑬⑬⑫, 7, 2,Ｆマイネルジェイド, 80,柴田大, 1.2, 89,   1,  16, 9, 50.9,⑧⑧⑨
 8, 2,Ｏウインバｰニング, 28,柴田大, 0.7, 46,  -4,  -8,10, 40.7, ⑦⑦, 8, 7, シゲルトラフグ,---,柴山雄, 2.0, 33, -20, -10, 5, 13.0, ⑭⑬, 8, 5,Ａフジマサクラウン, 76,田中勝, 0.7, 70,   6,   1, 1,  2.8,⑪⑪⑬, 8,12,Ｃミエノワンダｰ, 82,北村宏, 1.4, 83,*  4,   7, 5, 13.5,⑦⑥④
 9,15,Ｅパイロット, 47,石川裕, 0.7, 47,  -3,  -9, 8, 20.9, ⑨⑨, 9,15, ネイチャｰポイント,---,野中悠, 2.1, 32, -21, -12,13, 70.3, ⑪⑭, 9,11,Ｋダｰクサイド, 63,伴啓太, 0.9, 68,   4,   4,17,225.1,⑮⑮⑯, 9,11,Ｄワｰルドレｰヴ, 82,松岡正, 1.7, 83,   1,   9, 4,  7.9,⑫⑪⑩
10, 3,Ｄアイトラッキング, 50,横山典, 1.4, 38,  -8,  -9, 6,  9.9, ⑭⑭,10, 6, ノブアニバｰサリｰ,---,田中勝, 2.2, 32, -24,  -9,14, 87.9, ⑮⑮,10, 7,Ｍユキノユウダン, 63,松岡正, 0.9, 68,* 13, -13,12, 63.9,②③③,10, 5,Ｈカンタベリｰナイト, 77,二本柳, 2.4, 75,   0,   3,11,129.5,⑪⑫⑫
