15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａイザ, 60,三浦皇,, 48,  -5,* -2, 1,  1.7, ⑤⑤, 1,12, モｰゼス,---,柴田善,, 62,* -3,  -4, 4,  6.2, ③③, 1,13,Ｇサンクタリリアス, 68,津村明,, 66,*  2,   3,11, 20.6, ②②, 1, 5,Ｂマリオｰロ, 76,岩田康,, 74,  -1,* 10, 1,  2.7, ⑭⑭
 2,14,Ｉトモジャポルックス, 32,柴田善, 0.5, 45,  -4,* -7, 2,  6.0, ④④, 2, 6, ゴルゴバロｰズ,---,北村宏, 0.0, 63,* -2,  -5, 3,  6.1, ①①, 2,10,Ｂウェイトアンドシｰ, 71,大野拓, 0.0, 68,*  3,   2, 2,  5.1, ①①, 2,14,Ｄサトノフェラｰリ, 75,北村宏, 0.0, 75,   1,*  9, 2,  4.7, ⑪⑬
 3, 5,Ｋジイサマ, 30,石川裕, 0.7, 45,* -3, -12, 7, 23.7, ①①, 3,13, クレｰデリンテ,---,ルメｰ, 0.5, 55, -12,*  3, 2,  4.2, ⑯⑮, 3, 4,Ａブラックジャガｰ, 71,田辺裕, 0.4, 64,   1,   1, 8, 17.6, ⑤④, 3,15,Ｉエルゴレア, 71,柴山雄, 0.1, 75,   7,  -1, 4,  7.5, ⑦⑧
 4,10,Ｂシグナリング, 50,田辺裕, 1.0, 40,  -6,  -9, 3,  7.5, ⑦⑦, 4,16, スワンナプｰム,---,柴田大, 0.5, 57,  -8,  -2,10, 39.4, ⑬⑪, 4, 7,Ｃフィラｰレ, 71,蛯名正, 0.4, 66,   0,   3, 1,  4.9, ⑦⑧, 4,10,Ｌマイネルディアベル, 68,松岡正, 0.1, 77,* 11,  -7, 6, 13.7, ①①
 5,15,Ｎグリｰンベレｰ, 24,吉田豊, 1.3, 36, -10,* -7, 6, 18.1, ⑭⑬, 5,10, スイｰトクｰルアイ,---,江田照, 0.8, 53,  -6,  -8,12, 79.6, ⑩⑩, 5,15,Ｅダイチヴュルデ, 68,北村宏, 0.4, 67,  -2,*  6, 5,  9.5, ⑭⑫, 5, 9,Ｅライブリシュネル, 74,吉田豊, 0.1, 74,   3,   3,11, 44.0, ⑨⑩
 6, 2,Ｅウジヒメ, 40,武士沢, 1.5, 35, -10, -10,11, 69.3, ⑫⑫, 6, 7, ブラウンキャビア,---,デムｰ, 0.9, 50, -12,  -2, 7, 11.7, ⑭⑭, 6,16,Ｄサマｰラヴ, 70,井上敏, 0.6, 63,  -2,   2, 9, 17.9, ⑩⑨, 6, 6,Ｍレッドマニッシュ, 66,田辺裕, 0.2, 72,   3,   3,14, 94.0, ⑫⑪
 7, 9,Ｍゴｰルドジャイアン, 27,内田博, 1.6, 35,* -4, -19,12, 82.8, ③③, 7, 2, エクラミレネｰル,---,内田博, 1.0, 49, -14,* -1, 1,  4.0, ⑰⑯, 7, 2,Ｉヴェイルドスケｰル, 64,柴山雄, 0.6, 62,   1,  -2,10, 18.5, ③③, 7, 3,Ｆフェアラフィネ, 73,戸崎圭, 0.2, 74,   7,  -2, 7, 15.4, ⑥⑦
 8,13,Ｈウイングラウベン, 36,柴田大, 1.7, 35,  -8, -13, 9, 33.5, ⑪⑪, 8, 8, イルフォｰコン,---,田辺裕, 1.1, 48, -11,  -7, 5, 10.2, ⑪⑫, 8,11,Ｊテイア, 64,江田照, 0.7, 63,  -4,*  5,12, 98.4, ⑬⑭, 8,13,Ｇカシノピカチュウ, 73,蛯名正, 0.3, 72,   4,  -1, 8, 19.7, ⑩⑨
 9,11,Ｐギミギミラック,  2,菅原隆, 2.0, 31, -12, -11,16,290.3, ⑬⑮, 9,17, サインズストｰム,---,岩田康, 1.7, 42,  -6, -22, 8, 23.0, ⑥⑥, 9,12,Ｍインスタイル, 60,岩田康, 0.7, 62,   0,  -1, 3,  5.3, ⑥⑥, 9, 2,Ｊシｰギリヤガｰル, 69,柴田大, 0.4, 72,   8,  -7, 9, 26.9, ③③
