15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆヒロノフェロｰ, 41,藤岡康,, 59,* -5,*  2, 7, 18.4, ①①, 1, 7, エルフィンコｰブ,---,松山弘,, 63,* -1,* -2, 1,  2.0, ①①, 1, 8,Ｂメジャｰシップ, 75,高倉稜,, 77,*  4,  10, 2,  2.7,②②②, 1, 1,Ａスｰサンジョイ, 86,和田竜,, 86,* 16,   9, 1,  1.9, ①①
 2, 8,Ｂナナパンチ, 54,太宰啓, 0.6, 56,  -7,   0, 1,  3.2, ②③, 2, 1, トップノｰト,---,和田竜, 0.1, 61,  -4,*  0, 2,  4.7, ③③, 2, 4,Ｇニシオボヌｰル, 66,太宰啓, 0.2, 75,*  5,   7, 3,  4.0,①①①, 2, 4,Ｃメイショウオセアン, 82,酒井学, 0.7, 81,* 13,   6, 2,  4.7, ②②
 3, 7,Ｄヨシオ, 46,和田竜, 0.8, 53,  -9,   0, 6, 13.7, ⑥④, 3, 6, エイシンシエル,---,小牧太, 0.5, 58,  -7,*  0, 3,  6.3, ⑥⑥, 3, 1,Ａタイマツリ, 80,和田竜, 0.2, 75,   3,* 12, 1,  2.5,⑥⑥⑤, 3,12,Ｄエリアコンプリｰト, 80,北村友, 0.7, 80,  11,   9, 7, 29.1, ⑤④
 4, 1,Ａエｰティｰチャンプ, 54,古川吉, 0.9, 52,  -7,  -3, 3,  3.8, ③②, 4,12, ユアマイラブ,---,北村友, 0.6, 57,* -3,  -5, 4,  7.3, ②②, 4, 3,Ｃサダムダイジョウブ, 74,藤岡康, 0.8, 70,   3,   5, 5, 16.6,④④③, 4, 5,Ｍロｰドガルｰダ, 75,小牧太, 0.7, 81,* 12,   7, 9, 38.5, ③③
 5, 5,Ｃシゲルオキサワラ, 50,義英真, 1.0, 51, -11,  -1, 2,  3.4, ⑦⑦, 5, 2, ラッシュストｰム,---,国分恭, 1.8, 47,  -4, -14,14,187.7, ④⑤, 5, 7,Ｄフィｰルドリアン, 70,秋山真, 0.9, 68,   2,   8, 6, 20.7,⑦⑧⑨, 5, 2,Ｏエンドレスノット, 73,岩崎翼, 1.1, 78,   8,  10,12, 50.0, ⑧⑧
 6, 2,Ｇブリｰズスズカ, 38,熊沢重, 1.0, 52,  -9,  -2, 5,  8.4, ⑤⑤, 6,13, ゴｰドンカズマ,---,国分優, 2.3, 41,  -4, -20, 7, 21.7, ⑤④, 6, 2,Ｅダイシンロイ, 70,幸英明, 0.9, 71,   1,   9, 8, 43.8,⑨⑨⑧, 6, 7,Ｇメイショウアイアン, 79,秋山真, 1.2, 77,   0,* 19, 5, 14.1, ⑮⑮
 7, 4,Ｈイサチルエスペｰロ, 32,幸英明, 1.4, 49, -14,   0, 4,  8.4, ⑨⑨, 7, 5, タガノティアラ,---,酒井学, 2.5, 39, -10, -15, 8, 40.3, ⑧⑧, 7, 6,Ｆシルバｰソｰド, 68,松山弘, 1.7, 64,   2,  -2, 4, 12.6,⑧⑤⑥, 7, 6,Ｆサクセスフェイト, 80,国分優, 1.3, 78,   2,* 16,14, 83.6, ⑬⑬
 8, 3,Ｅアロｰフロスト, 43,酒井学, 1.8, 45, -12,  -7, 8, 40.0, ⑧⑧, 8, 4, ナムラエミリｰ,---,太宰啓, 2.6, 41,  -8, -15,11, 67.0, ⑦⑦, 8, 9,Ｈアイファｰマグオｰ, 65,吉井友, 2.3, 59,   3,  -9, 9, 87.8,③③④, 8, 8,Ｉミッキｰヘネシｰ, 77,太宰啓, 1.4, 77,   5,  11,11, 44.8, ⑪⑪
 9, 9,Ｉオンガエシ, 26,竹之下, 3.1, 33,  -8, -22, 9,147.9, ④⑥, 9,11, ブルｰクリフ,---,シュタ, 2.8, 36, -20,  -7, 6, 18.4, ⑭⑭, 9, 5,Ｉトウカイバレット, 61,北村友, 2.9, 55,   2, -11, 7, 38.7,⑤⑦⑦, 9, 3,Ｈネヴァｰハｰツ, 78,吉井友, 1.6, 75,  -3,* 18,10, 41.0, ⑯⑯
