15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａナイトインブラック, 59,デムｰ,, 60,   6,* -3, 1,  2.5, ③④, 1, 7, アシュワガンダ,---,蛯名正,, 70,*-11,* 15, 3,  6.4, ③②, 1,10,Ｂアムｰルスキｰ, 78,柴山雄,, 76,   8,*  5, 2,  3.9,⑨⑧⑦, 1, 1,Ａアンズチャン, 88,横山典,, 82,   1,* 22, 1,  2.6, ⑯⑯
 2, 1,Ｄメイスンスパｰト, 50,柴山雄, 0.4, 56,   1,*  0, 8, 14.7, ⑨⑪, 2, 2, カシマブロッサム,---,松岡正, 0.2, 67,*-11,  10, 4,  6.5, ①①, 2, 2,Ａグラスプリマ, 79,吉田豊, 0.0, 75,   7,*  7, 3,  7.6,⑦⑨⑧, 2,10,Ｆセイラ, 81,藤岡康, 0.1, 82,   5,* 17,11, 48.6, ⑭⑫
 3, 7,Ｆアｰマンディ, 49,和田竜, 0.4, 57,   4,  -4, 6, 12.7, ⑥⑦, 3, 5, グリントオブライト,---,デムｰ, 0.3, 65, -12,* 14, 1,  2.5, ⑤⑤, 3,11,Ｆオペラハット, 72,北村宏, 0.3, 76,   9,   1, 6, 11.8,④④⑤, 3,16,Ｋヒルノデイバロｰ, 78,石川裕, 0.3, 80,* 11,   7, 2,  4.7, ②②
 4, 3,Ｋジンクフィンガｰ, 43,柴田善, 0.5, 54,   3,  -4,13,224.9, ⑧⑨, 4, 3, ドゥドゥドゥ,---,荻野琢, 0.7, 61, -12,   8, 9, 50.6, ④④, 4,12,Ｊユアザイオン, 66,石川裕, 0.9, 71,   7,  -1, 4,  8.3,⑩⑩⑨, 4, 4,Ｇサノイチ, 81,田辺裕, 0.4, 79,   6,  13, 4,  9.4, ⑧⑩
 5, 2,Ｈテンプルツリｰ, 48,蛯名正, 0.8, 53,   5, -11, 4, 10.2, ⑤⑤, 5,10, マサノホｰク,---,和田竜, 0.9, 60, -15,   8, 8, 48.8, ⑨⑧, 5, 8,Ｄバイオンディップス, 75,田辺裕, 1.0, 69,* 10,  -7, 1,  2.7,⑥⑤④, 5, 7,Ｊビリオネア, 78,岡田祥, 0.4, 81,   4,* 16, 7, 19.4, ⑮⑮
 6,11,Ｂキングドラゴン, 55,北村宏, 0.9, 49,   2, -10, 2,  3.7, ⑩⑩, 6, 8, エラクレｰア,---,柴山雄, 1.0, 58, -18,  12, 7, 16.8, ⑪⑪, 6, 5,Ｅトゥルｰウインド, 73,江田照, 1.1, 69,* 10,  -9, 5,  8.9,②②②, 6, 6,Ｃメイショウスミトモ, 83,古川吉, 0.5, 79,   6,  12, 6, 17.5, ⑪⑪
 7, 9,Ｍレイホｰロイス, 40,田辺裕, 1.0, 48,   0,  -7, 3,  9.9, ⑬⑬, 7,11, ミッキｰディンドン,---,横山典, 1.3, 53, -15,   2, 5,  9.5, ⑧⑨, 7, 4,Ｃコスモアルマク, 77,柴田大, 1.4, 68,   9,  -8, 7, 13.0,⑧⑦⑥, 7,14,Ｅクロスボウ, 81,吉田豊, 0.5, 77,   8,   9,14,114.0, ⑫⑦
 8,10,Ｅジュンレンパ, 49,石川裕, 1.1, 48,   5, -15, 9, 18.0, ⑦⑥, 8, 4, コウギョウマシェリ,---,池添謙, 1.4, 53, -17,   5,11, 52.8, ⑩⑩, 8, 6,Ｋロマンシｰズ, 65,柴田善, 2.2, 62,   7, -11,12,119.3,⑤⑥⑩, 8,13,Ｄミッキｰシｰガル, 82,内田博, 0.5, 78,* 10,   6, 3,  5.0, ④③
 9, 4,Ｊメイショウボｰテ, 45,藤岡康, 1.2, 48,* 10, -24,10, 65.6, ①①, 9, 6, タイセイティエラ,---,北村宏, 1.4, 53, -15,   1, 2,  4.1, ⑦⑦, 9, 1,Ｉライトオブホｰプ, 66,松岡正, 3.3, 57,* 10, -27, 8, 27.6,①①①, 9, 2,Ｉゲマインシャフト, 78,北村宏, 0.9, 76,   4,  10, 9, 37.7, ⑩⑬
