15年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃシゲルキハダマグロ, 56,松山弘,, 58,  -1,* -3, 2,  3.4, ⑦⑨, 1,13, ファンドレイザｰ,---,アッゼ,, 54,  -3,* -7, 4, 15.1,⑥⑧⑥, 1, 6,Ｂシホウ, 76,浜中俊,, 82,*  3,  16, 1,  2.0,⑦⑤⑤, 1,11,Ｃアルバｰト, 87,アッゼ,, 89,   9,* 16, 3,  4.8,⑫⑫⑪
 2,13,Ｄガンコ, 52,幸英明, 0.1, 56,  -3,* -3, 1,  2.8, ⑨⑦, 2, 9, ナｰウル,---,浜中俊, 0.1, 54,  -1,* -9,10, 45.2,⑧⑦⑨, 2, 8,Ｅカラフルブラッサム, 72,岩田康, 0.1, 84,   1,* 21, 2,  3.9,⑤⑧⑥, 2, 2,Ｂトゥインクル, 89,浜中俊, 0.4, 84,   9,   9, 1,  3.4,⑦⑩⑬
 3, 6,Ｋブルｰクリフ, 36,小牧太, 0.3, 57,*  3, -11, 9, 41.3, ②②, 3,12, コパデスコパ,---,藤岡康, 0.4, 51,  -3,* -9, 9, 40.7,⑪⑨⑦, 3, 4,Ｇジュｰヴルエｰル, 70,シュタ, 0.1, 83,   2,* 19, 5, 11.0,⑧⑦⑦, 3, 8,Ｆグリュイエｰル, 83,岩田康, 0.6, 82,  10,   3, 2,  3.9,⑨⑧⑦
 4, 5,Ａナムラミラクル, 64,藤岡康, 0.4, 55,*  3, -13, 4,  7.4, ①①, 4, 3, キクノシュペｰル,---,幸英明, 0.6, 51,  -1, -14, 3,  7.4,⑤⑤②, 4, 3,Ａゴｰルドテｰラｰ, 81,岩崎翼, 0.7, 74,*  4,   7, 4,  6.6,③④④, 4, 5,Ａアドマイヤバラｰド, 91,シュタ, 0.6, 82,   7,* 10, 9, 26.4,⑪⑭⑭
 5, 9,Ｆサンマルドライヴ, 47,竹之下, 0.8, 49,  -8,* -3,10, 41.7, ⑬⑫, 5,15, スズカマサル,---,和田竜, 0.7, 50,  -1, -14, 7, 29.6,⑦⑥③, 5, 5,Ｈブレイクアウト, 70,北村友, 0.7, 71,*  3,   4, 6, 28.0,①①①, 5,14,Ｊエｰティｰタラント, 78,武豊  , 0.7, 79,  10,  -1, 5, 12.2,⑬⑦⑤
 6, 4,Ｍジｰジトガンカイ, 35,鮫島良, 1.3, 48,   0, -17,15,143.8, ⑤④, 6, 1, エイシンチムニｰ,---,シュタ, 0.9, 49,* -1, -18, 5, 17.6,④④④, 6, 2,Ｄフジノサムライ, 75,小牧太, 0.9, 74,   1,   9, 7, 32.8,⑥⑥⑧, 6, 6,Ｉカノン, 79,高倉稜, 0.7, 81,  10,   0, 4,  7.9,⑤⑥⑥
 7,12,Ｇタガノティアラ, 40,酒井学, 1.6, 43,  -8,  -9,12, 95.9, ⑭⑭, 7,14, ロサモスカｰタ,---,小牧太, 0.9, 51,  -5, -10, 6, 21.0,⑬⑫⑩, 7, 7,Ｃマイネルマルシェ, 75,松山弘, 1.1, 68,*  4,  -2, 8,117.6,②②②, 7,10,Ｎゴッドフロアｰ, 74,四位洋, 0.8, 80,   9,   4,13, 56.4,⑭⑬⑫
 8, 8,Ｅハルク, 48,岩田康, 1.7, 43,*  1, -22, 3,  6.7, ③③, 8, 2, ネフェルティティ,---,武豊  , 1.1, 47,  -5, -12, 1,  1.8,⑩⑪⑪, 8, 1,Ｆシャンパｰニュ, 70,幸英明, 1.1, 70,   2,   2, 3,  4.9,④③③, 8, 7,Ｄマイネルジェイド, 87,国分優, 0.8, 80,   9,   3,14, 96.2,⑧⑪⑨
 9, 2,Ｌアムロタイプ, 35,太宰啓, 1.9, 43,  -3, -18,14,135.7, ⑩⑩, 9, 6, エスプリベルテ,---,高倉稜, 1.5, 46,* -1, -24, 8, 31.9,②②⑧,,,,,,,,,,,,, 9, 9,Ｈマイネルアイザック, 79,和田竜, 1.0, 79,* 12,  -7,12, 44.9,④④③
10, 3,Ｉロマンチスト, 39,国分恭, 2.0, 40,  -3, -21,11, 79.2, ⑧⑥,10,10, ディライトクライ,---,岩田康, 1.7, 43,  -2, -24, 2,  4.3,③③⑤,,,,,,,,,,,,,10, 3,Ｋタガノレイヨネ, 78,太宰啓, 1.4, 74,* 11, -13, 7, 18.8,①①①
11,15,Ｂシゲルオニアジ, 56,和田竜, 2.1, 39,  -6, -16, 5,  7.6, ⑪⑪,11, 5, シゲルノコギリダイ,---,北村友, 2.1, 39,*  0, -31,11, 49.3,①①①,,,,,,,,,,,,,11,12,Ｇダノンマックイン, 81,小牧太, 1.4, 75,* 11, -13, 6, 16.6,⑥⑤④
12, 7,Ｈジョウショｰ, 40,三津谷, 2.4, 37,  -5, -20, 6, 22.6, ⑫⑬,12,11, シャイニｰレディ,---,太宰啓, 2.5, 41,  -8, -18,15,151.6,⑭⑬⑬,,,,,,,,,,,,,12, 4,Ｌラブラドライト, 76,松山弘, 1.5, 74,* 11, -14,10, 37.9,②②②
13,14,Ｎテイエムハマッタ, 27,田中健, 3.5, 31,   0, -35, 7, 29.6, ⑥⑤,13, 7, ナリタピクシｰ,---,秋山真, 3.5, 30,  -9, -26,12, 80.8,⑫⑭⑭,,,,,,,,,,,,,13, 1,Ｍロングリバイバル, 76,幸英明, 1.6, 74,  10, -11,11, 41.6,③③⑧
14, 1,Ｊヘッドストロング, 39,北村友, 3.7, 27,   0, -39, 8, 36.7, ④⑧,14, 8, スラムダンス,---,国分優, 4.6, 27,  -4, -44,13,121.6,⑨⑩⑫,,,,,,,,,,,,,14,13,Ｅエｰシングングン, 84,酒井学, 3.8, 57,  10, -43, 8, 25.5,⑩⑨⑩
15,11,Ｏシゲルオニオコゼ, 22,高倉稜, 3.7, 29, -11, -25,13,135.3, ⑮⑮,15, 4, アマノクロブネ,---,武幸四, 6.7, 21, -12, -46,14,132.9,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:6),,,,,,,,,,,
単勝:340円 複勝:10=130円 13=140円 06=810円 枠連:490円,,,,,,,,,,,,"単勝:1,510円 複勝:13=530円 09=1,300円 12=1,130円 枠連:10,540円",,,,,,,,,,,,単勝:200円 複勝:06=110円 08=140円 04=210円 枠連:0円,,,,,,,,,,,,単勝:480円 複勝:11=180円 02=140円 08=150円 枠連:760円,,,,,,,,,,,
"馬連:530円 ワイド:10-13=260円 06-10=2,580円 06-13=2,680円",,,,,,,,,,,,"馬連:21,770円 ワイド:09-13=5,870円 12-13=4,810円 09-12=8,880円",,,,,,,,,,,,馬連:370円 ワイド:06-08=170円 04-06=330円 04-08=580円,,,,,,,,,,,,馬連:920円 ワイド:02-11=390円 08-11=410円 02-08=330円,,,,,,,,,,,
"馬単:1,110円 3連複:9,550円 3連単:39,510円",,,,,,,,,,,,"馬単:45,560円 3連複:173,810円 3連単:1,011,220円",,,,,,,,,,,,"馬単:570円 3連複:970円 3連単:2,340円",,,,,,,,,,,,"馬単:2,130円 3連複:1,210円 3連単:6,820円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1600m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,京都ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ﾃﾞｲﾘｰ杯2歳ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆマイネルラック, 49,シュタ,, 57,   5,  -6, 3,  6.0, ③③, 1,12, ヒｰズインラブ,---,藤岡康,, 68,*  1,* -2, 2,  3.3, ④③, 1, 1, ダンツミュｰタント,,森一馬,,,,, 3,  6.2,⑥⑥⑤, 1,13,Ａエアスピネル, 81,武豊  ,, 79,* -3,* 17, 2,  2.6, ④④
 2,13,Ａサトノマイヒメ, 60,和田竜, 0.0, 57,   1,*  0, 1,  2.2, ⑩⑩, 2, 1, スカイノメジャｰ,---,岩田康, 0.7, 59,*  3, -16, 1,  2.1, ①①, 2, 9, ニジブルｰム,,小坂忠,215.2,,,, 6, 14.3,②②②, 2,14,Ｃシュウジ, 64,岩田康, 0.6, 71,* -2,   5, 1,  1.7, ①①
 3, 1,Ｊトキノディライト, 39,鮫島良, 0.4, 52,  -3,*  0,12, 92.6, ⑬⑬, 3, 5, トレノエスプレッソ,---,秋山真, 0.8, 58,*  1, -13, 8, 25.9, ③④, 3, 8, ウォンテッド,,高田潤,215.5,,,, 2,  4.0,⑤③③, 3,10,Ｂノｰブルマｰズ, 67,高倉稜, 0.7, 71,* -1,   4, 7, 38.0, ②②
 4, 3,Ｇルドルフィｰナ, 48,森一馬, 0.4, 51,  -2,  -2, 4,  7.3, ⑪⑪, 4, 4, リングオブハピネス,---,浜中俊, 0.8, 58,  -1, -10, 5, 14.6, ⑤⑦, 4,11, ドリｰムセｰリング,,石神深,215.5,,,, 7, 18.4,①①①, 4, 7,Ｅナイトオブナイツ, 62,松山弘, 1.1, 67,  -4,   3, 3, 14.4, ⑤⑤
 5, 2,Ｈブリオ, 41,松山弘, 0.5, 54,*  7, -15,13, 93.0, ①①, 5, 6, クラシカルチュチュ,---,シュタ, 0.9, 58,  -8,*  1, 7, 25.5, ⑫⑫, 5,10, オｰルアズワン,,北沢伸,216.6,,,, 5, 12.0,⑩⑨⑧, 5, 3,Ｈリッチｰリッチｰ, 57,シュタ, 1.3, 63,  -6,   1, 4, 20.2, ⑧⑦
 6,15,Ｃショウナンアｰリｰ, 58,武豊  , 0.5, 52,   5, -11, 5,  8.8, ④⑤, 6,13, コスモタウルス,---,高倉稜, 0.9, 61,  -2,  -7,13,121.5, ⑧⑧, 6, 3, エｰシンジｰライン,,西谷誠,217.1,,,, 4,  6.8,⑨⑦⑦, 6,11,Ｆラハトケレブ, 60,浜中俊, 1.6, 61,  -7,   1, 9, 51.7, ⑩⑫
 7, 9,Ｏカネトシフェアリｰ, 28,川島信, 0.6, 49,  -3,  -4, 8, 54.5, ⑫⑫, 7, 2, ディスピュｰト,---,幸英明, 1.0, 58,  -2, -10, 6, 17.3, ⑨⑨, 7, 7, ファイアｰシチｰ,,熊沢重,217.5,,,,11, 60.8,⑦⑤⑥, 7, 9,Ｍエイシンギガント, 50,幸英明, 1.7, 60,  -4,  -6,13,159.3, ⑥⑥
 8, 6,Ｄベイビｰズブレス, 54,浜中俊, 0.7, 50,*  6, -16, 6, 12.2, ②②, 8,10, ワンダｰスニュマン,---,酒井学, 1.2, 54,  -1, -15, 4, 14.4, ⑦⑥, 8, 6, シゲルキョクチョウ,,植野貴,218.5,,,, 8, 40.0,④④④, 8, 1,Ｉウインムｰト, 56,アッゼ, 1.7, 59,  -6,  -3,10, 91.3, ⑨⑨
 9,12,Ｂホｰマンビジュｰ, 59,岩田康, 0.8, 47,   2, -13, 2,  5.1, ⑦⑧, 9, 9, ノボリクラウン,---,武豊  , 1.5, 51,  -7,  -9, 3,  8.2, ⑪⑪, 9, 4, ルｰルプロスパｰ,,白浜雄,219.9,,,, 1,  2.4,⑧⑩⑨, 9, 5,Ｌテイエムハヤブサ, 52,国分恭, 1.7, 62,  -7,   0, 6, 34.9, ⑫⑬
10, 8,Ｌオオオク, 37,幸英明, 1.3, 41, -11,* -1, 9, 58.0, ⑮⑮,10, 8, セラサイト,---,松山弘, 1.7, 49,  -4, -17,11, 57.1, ⑩⑩,,,,,,,,,,,,,10,12,Ｋクラウンドジャック, 54,和田竜, 1.8, 58,* -3, -10,14,213.7, ③③
11, 5,Ｍキタノタイセツ, 32,北村友, 1.3, 43,   5, -21,15,350.6, ⑥⑥,11, 7, サカジロウィｰク,---,和田竜, 1.8, 48,  -1, -25, 9, 33.3, ⑥⑤,,,,,,,,,,,,,11, 2,Ｇデピュティスカイ, 58,北村友, 1.8, 58,  -6,  -5,12,128.4, ⑦⑧
12, 7,Ｅラブリッサ, 50,小林徹, 1.3, 43,   1, -17,11, 77.7, ⑨⑦,12,11, マンダリンショコラ,---,岩崎翼, 3.2, 33,*  3, -50,10, 43.0, ②②,,,,,,,,,,,,,12, 8,Ｄキングライオン, 62,池添謙, 1.9, 57, -10,   0,11, 92.6, ⑭⑭
13,10,Ｉジョウショウキセキ, 41,小牧太, 1.4, 40,  -7,  -9, 7, 49.5, ⑭⑭,13, 3, ヴォアラクテ,---,小牧太, 5.6,  4, -19, -46,12,105.7, ⑬⑬,,,,,,,,,,,,,13, 6,Ｊメイプルキング, 55,長岡禎, 2.0, 56,  -7,  -6, 5, 20.3, ⑬⑩
14,14,Ｎテイエムフライヤｰ, 32,藤岡康, 1.5, 39,   1, -20,14,327.3, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｎウォｰタｰミリオン, 48,武幸四, 2.2, 55,  -7,  -9, 8, 39.0, ⑪⑪
15, 4,Ｋテイエムオデュｰル, 39,田中健, 2.0, 35,   5, -30,10, 67.2, ⑤④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:6),,,,,,,,,,,
"単勝:600円 複勝:11=220円 13=120円 01=1,320円 枠連:490円",,,,,,,,,,,,単勝:330円 複勝:12=120円 01=120円 05=360円 枠連:370円,,,,,,,,,,,,"単勝:620円 複勝:01=190円 09=260円 08=150円 枠連:1,100円",,,,,,,,,,,,単勝:260円 複勝:13=110円 14=110円 10=310円 枠連:220円,,,,,,,,,,,
"馬連:890円 ワイド:11-13=380円 01-11=4,990円 01-13=3,340円",,,,,,,,,,,,馬連:340円 ワイド:01-12=190円 05-12=970円 01-05=670円,,,,,,,,,,,,"馬連:2,900円 ワイド:01-09=800円 01-08=480円 08-09=520円",,,,,,,,,,,,馬連:220円 ワイド:13-14=140円 10-13=690円 10-14=650円,,,,,,,,,,,
"馬単:1,550円 3連複:14,260円 3連単:58,250円",,,,,,,,,,,,"馬単:860円 3連複:1,840円 3連単:6,480円",,,,,,,,,,,,"馬単:6,750円 3連複:3,130円 3連単:23,590円",,,,,,,,,,,,"馬単:480円 3連複:1,280円 3連単:3,930円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,枚方特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
