15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａシトラスクｰラｰ, 59,大野拓,, 59,*  1,   2, 1,  3.8, ②②, 1, 1, ブラウンアニマｰト,---,津村明,, 55,  -6,* -1, 3,  4.7, ④④, 1, 4,Ｃアンヴェイルド, 80,ムｰア,, 79,  17,* -9, 3,  5.4,④②④, 1, 2,Ｃジェラルド, 80,戸崎圭,, 91,  -1,* 22, 5, 10.0,⑦⑦⑦
 2, 2,Ｉグラスセイヴァｰ, 49,吉田隼, 0.2, 57,*  0,   2, 4,  6.9, ③④, 2, 5, アシャカラウマ,---,柴田善, 0.2, 54, -11,*  2, 2,  4.0, ⑪⑪, 2, 5,Ａグラスプリマ, 81,吉田豊, 0.1, 79,* 18,*-11, 2,  3.9,⑧⑧②, 2,12,Ａアルタｰ, 82,柴山雄, 0.2, 91,  -1,* 22, 2,  4.3,⑪⑪⑪
 3, 6,Ｃサンアンダｰソン, 58,内田博, 0.2, 57,*  0,   1, 6, 12.5, ④③, 3, 2, クインズカリナン,---,勝浦正, 0.5, 52,* -4,  -8,13, 85.1, ①①, 3, 6,Ｇガヤルド, 76,内田博, 0.8, 77,* 18, -17, 7, 32.8,⑨⑨③, 3, 6,Ｉウインスペクトル, 76,丹内祐, 0.2, 85,*  2,  13, 8, 20.4,②②②
 4, 7,Ｅコスモヒドラ, 56,松岡正, 0.4, 56,  -2,   2, 2,  4.5, ⑦⑥, 4,13, フレッシュギャル,---,田辺裕, 0.7, 50,* -4,  -9, 1,  3.5, ③③, 4, 1,Ｅマカワオクイｰン, 78,蛯名正, 1.5, 72,* 18, -24, 5,  6.9,①①①, 4, 1,Ｄインナｰアｰジ, 78,蛯名正, 0.3, 86,   1,  14, 7, 13.6,④④④
 5, 4,Ｊグットドディユ, 48,柴田大, 0.4, 58,  -5,*  6,10, 51.5, ⑩⑨, 5, 7, キョウエイスコｰル,---,戸崎圭, 0.8, 49,* -4, -11, 4,  8.7, ②②, 5, 7,Ｂアンジュリンブレス, 80,大野拓, 1.9, 70,  14, -17, 4,  6.0,⑫⑫⑩, 5,14,Ｅフェスティヴイェル, 78,田中勝, 0.4, 84,   0,  12, 3,  5.2,⑥⑤⑤
 6,12,Ｂナポレオンズワｰド, 59,柴山雄, 0.7, 54,  -7,*  8, 5,  7.6, ⑯⑮, 6, 9, ボｰナスチャンス,---,大野拓, 0.9, 49,  -8,  -7,11, 38.3, ⑦⑦, 6, 9,Ｈインパルション, 73,石川裕, 2.2, 69,  15, -20,11, 97.7,⑪⑩⑧, 6, 3,Ｇシルクブルックリン, 76,柴田善, 0.4, 85,   0,  15, 9, 32.8,⑤⑥⑥
 7, 3,Ｈウインピアチェｰレ, 50,嘉藤貴, 1.2, 50,  -2,  -4,13,127.1, ⑥⑦, 7, 3, ノボドラゴ,---,柴田大, 1.0, 49, -14,* -2, 6, 19.1, ⑫⑫, 7,12,Ｄキネオフォルツァ, 80,北村宏, 2.9, 65,  15, -29, 1,  3.0,⑥⑥⑦, 7,13,Ｂグランドサッシュ, 81,田辺裕, 0.5, 87,  -1,  18, 4,  7.1,⑫⑫⑫
 8, 1,Ｋニンキモノ, 46,伴啓太, 1.5, 50,  -6,  -2,14,208.7, ⑭⑫, 8,10, ハミングウィズミｰ,---,石橋脩, 1.1, 47,  -6, -11, 7, 20.3, ⑤⑤, 8, 3,Ｉトミケンシェルフ, 72,吉田隼, 4.0, 60,  15, -39, 9, 38.1,⑦⑦⑥, 8, 4,Ｈイメｰジガｰル, 76,津村明, 0.6, 87,  -2,* 21,13,119.2,⑬⑭⑬
 9,11,Ｇヤマタケジャイアン, 55,武士沢, 1.5, 48,  -2,  -7, 7, 14.1, ⑧⑧, 9,12, スワニルダ,---,石川裕, 1.4, 46,  -6, -14, 8, 21.1, ⑥⑥, 9, 8,Ｆヴィンテｰジドｰル, 78,戸崎圭, 5.2, 55,  16, -51, 6, 15.5,③③⑤, 9, 8,Ｌエルヴィスバロｰズ, 73,内田博, 0.7, 84,  -1,  15,10, 49.8,⑩⑩⑩
