15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,鷹巣山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａトモトモリバｰ, 58,江田照,, 56,  -6,*  4, 1,  2.4, ⑤⑤, 1, 8, イｰグルフェザｰ,---,内田博,, 68, -10,* 17, 5,  9.3, ⑭⑩, 1, 8,Ａブラゾンドゥリス, 81,内田博,, 76,*  2,  12, 1,  1.5, ④③, 1, 5,Ｋホッコｰアムｰル, 74,三浦皇,, 86,   0,* 14, 8, 17.3, ⑩⑩
 2,15,Ｂピントゥリッキオ, 54,デムｰ, 0.5, 51,  -7,*  2, 2,  3.2, ⑩⑩, 2,12, スケｰルアップ,---,岩田康, 0.0, 66,* -8,* 12, 3,  7.8, ②②, 2, 7,Ｌコスモボアソルテ, 64,柴田大, 0.4, 73,*  3,   6, 8, 35.1, ①①, 2, 2,Ｃレッドカｰラ, 77,岩田康, 0.0, 85,   2,* 10, 2,  5.1, ⑦③
 3,11,Ｅコウセイオリｰヴ, 47,井上敏, 0.6, 49,  -6,  -2, 3,  5.3, ⑥⑥, 3,11, ティアップリバティ,---,大野拓, 0.8, 61, -10,   8, 6, 13.3, ⑥⑥, 3, 6,Ｅトラキアンコｰド, 74,岩田康, 0.5, 72,*  2,   7, 4, 13.0, ③②, 3, 3,Ｅレインボｰラヴラヴ, 75,内田博, 0.1, 83,*  3,   7, 5, 10.1, ②②
 4, 1,Ｉミツカネプリンセス, 40,内田博, 0.8, 50,  -9,*  2, 5, 13.8, ⑪⑪, 4, 4, カズノテイオｰ,---,江田照, 0.8, 61, -10,  10, 4,  8.0, ⑧⑧, 4,13,Ｉワイルドダンサｰ, 69,ムｰア, 0.5, 71,   0,  10, 2,  5.9, ⑦⑦, 4, 1,Ｈスタｰファセット, 75,戸崎圭, 0.2, 83,   1,* 10, 6, 11.8, ⑨⑦
 5, 2,Ｌデルマオイチ, 35,木幡初, 0.8, 50,* -2,  -6,13,172.4, ①①, 5, 6, キョウエイラムセス,---,勝浦正, 0.8, 61,  -9,   9, 2,  5.7, ⑤④, 5, 5,Ｋオｰゴンボルト, 68,江田照, 0.7, 71,  -1,  10,11, 72.8, ⑩⑨, 5,13,Ｐショウナンアズサ, 71,柴田善, 0.3, 78,*  6,   2,18,140.4, ①①
 6,14,Ｄアイルｰロス, 51,柴田大, 1.0, 48,  -8,  -2, 9, 57.3, ⑦⑧, 6, 9, アオイプリンス,---,デムｰ, 1.3, 55, -11,   5, 1,  2.3, ⑨⑨, 6,11,Ｃダイチトゥルｰス, 76,武士沢, 0.8, 72,  -2,  12, 5, 14.1, ⑪⑫, 6, 7,Ｆチョコレｰトバイン, 75,ベリｰ, 0.4, 81,  -1,* 10, 1,  4.2, ⑫⑫
 7, 6,Ｃキタノスズラン, 54,吉田豊, 1.1, 46,  -6,  -5, 4,  7.8, ④④, 7,10, ドゥリｰミン,---,田辺裕, 2.4, 48, -11,  -2,10, 37.0, ⑩⑫, 7,15,Ｇデストリｰライズ, 70,松岡正, 0.8, 72,  -5,* 16,13,126.2, ⑯⑯, 7,18,Ｉラインハｰト, 75,北村宏, 0.5, 80,  -2,   9,10, 25.2, ⑭⑬
 8,10,Ｋコスモプルｰト, 35,丹内祐, 1.2, 47,* -4,  -8,10, 57.6, ③③, 8, 5, アズオｰルウェイズ,---,ベリｰ, 2.7, 46, -12,  -4,11, 41.1, ⑪⑪, 8,14,Ｂエタｰナルヒｰロｰ, 77,石橋脩, 0.9, 71,  -5,* 14, 6, 16.9, ⑮⑮, 8, 4,Ｏハナフブキ, 71,蛯名正, 0.6, 81,  -2,* 10,11, 28.1, ⑬⑭
 9, 3,Ｆネクストヒロイン, 46,横山典, 1.7, 43, -13,   0, 6, 25.6, ⑭⑬, 9, 1, キッスイ,---,北村宏, 3.1, 43, -11,  -9, 9, 28.7, ⑦⑦, 9,10,Ｈジャｰラベンナ, 70,津村明, 1.1, 68,  -3,  11,12,104.5, ⑭⑭, 9, 8,Ｑシｰギリヤガｰル, 70,柴田大, 0.8, 75,   2,   1,16, 68.2, ⑤④
10,13,Ｊフェイマスアゲン, 35,松岡正, 1.8, 42, -11,  -4, 7, 45.9, ⑫⑫,10,14, レシタルウォｰス,---,柴山雄, 3.4, 40,* -8, -15,14, 80.8, ③⑤,10, 9,Ｄシングンパワｰ, 74,長岡禎, 1.3, 67,  -3,   8, 9, 36.6, ⑫⑪,10,14,Ｎコリｰヌ, 72,田辺裕, 0.8, 77,  -4,   9, 3,  7.8, ⑮⑯
11, 8,Ｎエンゼルトリック, 22,石橋脩, 2.7, 33,* -5, -21,12,150.8, ②②,11, 3, ヌｰヴォモンド,---,柴田大, 3.5, 43, -17,  -3,13, 63.2, ⑬⑬,11, 4,Ｍスルｰプオブウォｰ, 64,三浦皇, 1.4, 65,   0,   2, 7, 32.7, ⑥⑥,11,15,Ｇレｰヌドブリエ, 75,吉田豊, 1.0, 75,  -4,   6, 4,  8.4, ⑯⑰
