15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａゴルゴバロｰズ, 64,北村宏,, 59,*  3,  -1, 1,  1.6, ①①, 1, 7, リンクス,---,柴田善,, 60,  -7,*  3, 1,  3.3,⑬⑪⑪, 1, 1,Ｃニシノジャｰニｰ, 61,シュタ,, 78,   6,*  2, 8, 26.3, ⑦⑧, 1,13,Ｃネオリアリズム, 83,ムｰア,, 85,   5,* 16, 4,  6.2,⑬⑬⑫
 2, 4,Ｂタイガｰヴォｰグ, 59,石川裕, 0.4, 57,   1,  -2, 2,  3.6, ③④, 2, 8, マテンロウゴｰスト,---,デムｰ, 0.1, 56,* -2, -10, 3,  5.8,②②②, 2,11,Ｇティソｰナ, 55,ルメｰ, 0.1, 75,* 11,* -9, 3,  4.7, ②②, 2, 6,Ｂイサベル, 84,デムｰ, 0.2, 81,   7,* 11, 1,  2.5,⑪⑪⑩
 3,10,Ｅケンコンイッテキ, 53,内田博, 0.4, 57,  -2,   2, 4,  9.6, ⑨⑧, 3, 1, ピックミｰタッチ,---,北村宏, 0.1, 58,  -5,  -6, 2,  3.9,⑤⑤⑤, 3, 2,Ａマイネルハニｰ, 78,内田博, 0.3, 74,* 14, -17, 2,  3.3, ①①, 3, 7,Ｆマテンロウボス, 81,横山典, 0.2, 82,   8,   9, 2,  5.5,⑩⑩⑪
 4,11,Ｃヤマイチジャスティ, 56,柴山雄, 0.7, 55, -10,* 10, 3,  8.8, ⑮⑭, 4, 9, アップクォｰク,---,柴山雄, 0.2, 57,  -5,  -7, 4,  7.6,⑥⑦⑥, 4, 5,Ｂアシュワガンダ, 70,蛯名正, 1.3, 64,   2, -12, 6, 15.8, ⑩⑩, 4, 5,Ａレッドオリヴィア, 84,シュタ, 0.3, 80,  10,   4, 3,  5.8,⑨⑧⑧
 5, 5,Ｄアルマラナキラ, 55,三浦皇, 1.1, 51,   2,  -8, 6, 19.3, ④③, 5,15, マイネルラザンツ,---,石川裕, 0.3, 55,  -6,  -6,13, 63.6,⑦⑧⑧, 5,12,Ｅナイトインブラック, 58,ムｰア, 1.5, 60,   7, -22, 4,  6.9, ⑧⑦, 5, 8,Ｇシャドウウィザｰド, 80,戸崎圭, 0.5, 78,   5,   9, 7, 17.4,⑫⑫⑬
 6,12,Ｉタニガワ, 41,伴啓太, 1.3, 50,  -4,  -3,14,299.9, ⑪⑩, 6,13, ユニゾンデライト,---,岩田康, 0.4, 56,  -9,* -1, 6, 17.8,⑪⑬⑫, 6, 4, サンエイゴｰルド,---,松岡正, 1.8, 58,   5, -23, 9, 92.0, ⑨⑨, 6,11,Ｅエアアンセム, 81,ルメｰ, 0.5, 77,  11,  -1, 6, 16.6,④④⑥
 7, 7,Ｎリアリゾンルレｰヴ, 34,戸崎圭, 1.4, 50, -11,*  5, 5, 18.5, ⑭⑮, 7,16, ジェロディ,---,ムｰア, 1.1, 48,  -9, -10, 5, 10.6,⑭⑭⑬, 7, 6,Ｈメイプルキング, 54,長岡禎, 1.9, 57,   8, -29, 7, 20.8, ⑥⑥, 7, 2,Ｌロｰレルブレット, 75,ベリｰ, 0.7, 76,  11,  -4,13, 99.0,⑤⑥⑤
 8,16,Ｈケイエスフェアリｰ, 46,吉田隼, 1.6, 47,*  2, -13, 7,106.3, ⑤⑤, 8, 5, ユｰキャンゴｰゴｰ,---,ベリｰ, 1.1, 47,* -2, -26, 8, 25.1,①①①, 8, 3,Ｉファジｰネｰブル, 53,嘉藤貴, 2.2, 54,   9, -34,10,181.2, ⑤④, 8,10,Ｄエバｰグリｰン, 82,大野拓, 0.7, 75,  10,  -6, 8, 25.4,⑦⑤④
 9, 3,Ｊオリエンタルイギｰ, 41,長岡禎, 1.7, 47,  -8,  -1,10,146.0, ⑩⑪, 9, 4, サムワンライクユｰ,---,田辺裕, 1.2, 46,  -6, -17,11, 43.6,⑫⑩⑨, 9,10,Ｆウェｰブヒｰロｰ, 57,川田将, 2.9, 45,   8, -45, 5, 11.0, ④⑤, 9, 3,Ｈタイセイドリｰム, 79,内田博, 0.9, 74,   8,  -3,10, 33.9,⑧⑨⑨
