15年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａシェアｰド, 67,柴田大,, 61,*  3,*  1, 1,  1.2, ②②, 1,15, パミｰナコラッジョ,---,三浦皇,, 62,* -9,*  7, 5, 10.1, ④③, 1, 5,Ｃツクバアズマオｰ, 75,吉田豊,, 80,  11,*  9, 3,  7.4,⑦⑦⑥, 1,13, アップトゥデイト,,林満明,,,,, 2,  3.5,③②②
 2, 4,Ｅルグランシェクル, 54,戸崎圭, 0.5, 56,*  4,  -5, 3, 11.1, ①①, 2,14, ハッピｰプリティｰ,---,蛯名正, 0.2, 61,* -8,*  4, 2,  3.9, ②②, 2, 6,Ｂミュゼダルタニアン, 77,丸山元, 0.2, 77,* 12,   3, 2,  3.9,⑤⑤⑤, 2, 4, エイコｰンパス,,高田潤,278.0,,,, 5, 20.2,④③③
 3, 5,Ｄチュラカｰギｰ, 54,石川裕, 0.6, 55,*  2,  -4, 2,  7.1, ③⑤, 3,10, プログレスウェイ,---,村田一, 0.9, 54, -14,*  3, 6, 13.1, ⑥⑥, 3, 2,Ａサクラアンプルｰル, 77,戸崎圭, 0.3, 76,   8,*  9, 1,  3.3,⑩⑨⑧, 3, 8, サナシオン,,西谷誠,278.3,,,, 1,  1.7,②①①
 4, 9,Ｉグランリゲル, 42,横山典, 0.6, 54,   1,  -3, 8, 69.5, ④⑥, 4,13, シルバｰドリｰム,---,石川裕, 1.2, 52, -10,  -2, 1,  3.7, ⑤⑤, 4, 7,Ｇデバイスドライバｰ, 68,田中勝, 0.9, 72,   7,   5, 4,  7.4,⑭⑬⑪, 4, 9, ダンツミュｰタント,,森一馬,280.3,,,, 9, 43.8,⑤⑦⑤
 5,14,Ｂアルマラナキラ, 57,三浦皇, 1.0, 50,   1,  -6, 4, 16.0, ⑥④, 5, 2, ボナテスタ,---,江田照, 1.5, 49, -15,   0,10, 38.6, ⑦⑦, 5,15,Ｈカレンリスベット, 68,蛯名正, 1.2, 67,* 13, -15, 6,  9.0,①①①, 5, 6, ティリアンパｰプル,,山本康,281.0,,,,12,121.1,⑦⑤④
 6,10,Ｋサンメサベルデ, 37,平野優, 1.0, 50,  -1,  -5,14,252.5, ⑦⑧, 6, 4, クレイジｰインラヴ,---,西村太, 1.8, 48,* -6, -10,13, 84.8, ①①, 6,12,Ｐニシノカザブエ, 61,野中悠, 1.3, 69,   6,   4,16,204.8,⑯⑯⑭, 6, 1, オジュウチョウサン,,石神深,282.2,,,, 6, 21.3,⑫⑫⑪
 7,11,Ｈセイントシャイニｰ, 46,丹内祐, 1.0, 51,   1,  -6,10,121.5, ⑤③, 7,11, トキメキユキチャン,---,嘉藤貴, 2.1, 44, -15,  -5, 4,  6.9, ⑧⑧, 7,14,Ｏノワｰルギャルソン, 62,吉田隼, 1.3, 68,   4,*  7,18,312.3,⑰⑱⑰, 7,12, アシュヴィン,,中村将,282.3,,,, 7, 39.4,⑪⑩⑩
 8, 1,Ｆイデアオブダンディ, 50,丸山元, 1.1, 48,  -5,* -2, 7, 45.8, ⑩⑩, 8, 6, シゲルサメイワシ,---,木幡初, 2.2, 43, -21,   0,14, 94.2, ⑫⑫, 8,10,Ｊルレイヴ, 66,石川裕, 1.4, 65,   7,  -1, 5,  8.2,⑬⑭⑯, 8,10, ウォンテッド,,北沢伸,283.1,,,, 8, 41.9,⑩⑨⑦
 9,13,Ｍマロンバニラ, 32,田中勝, 1.5, 46,  -1,  -9, 9,111.0, ⑧⑦, 9,16, キングチャｰルズ,---,田辺裕, 2.5, 39, -19,  -6, 3,  6.7, ⑪⑪, 9, 3,Ｉアキトプレスト, 66,江田照, 1.5, 64,   8,  -7,11,106.2,⑪⑪⑨, 9,11, タニノタキシｰド,,小坂忠,283.1,,,,10, 60.2,⑨⑧⑨
10,12,Ｃエメラルドクイｰン, 57,江田照, 1.6, 42, -11,*  0, 5, 24.7, ⑮⑮,10,12, ウイングリニッジ,---,柴田大, 2.5, 40, -19,  -5, 9, 18.6, ⑩⑨,10,16,Ｆストｰミング, 69,柴田善, 1.8, 59,* 12, -21, 7, 20.4,③③③,10, 7, ドリｰムセｰリング,,浜野谷,285.3,,,,11, 67.9,①④⑧
11, 3,Ｏトウショウレイダｰ, 30,田辺裕, 1.8, 40,  -9,  -5,13,250.2, ⑬⑫,11, 8, アルコバッサ,---,松岡正, 2.8, 37, -28,   0, 8, 18.4, ⑭⑬,11, 8,Ｌエバｰキュｰト, 65,石橋脩, 2.0, 60,* 12, -22,10, 50.3,④④④,11, 5, マキオボｰラｰ,,平沢健,285.6,,,, 4, 11.6,⑥⑥⑥
12, 6,Ｌタイトルラッシュ, 32,松岡正, 2.0, 41,  -4, -10,12,246.2, ⑨⑨,12, 3, チェダｰ,---,吉田隼, 3.1, 34, -17, -13, 7, 18.1, ⑨⑩,12,13,Ｍギンガ, 63,田辺裕, 2.0, 60,   6,  -6, 9, 23.4,⑮⑰⑱,12,14, タマモショパン,,熊沢重,285.7,,,,13,188.8,⑧⑪⑫
13,16,Ｇスタｰアリュｰル, 47,村田一, 2.5, 35,  -5, -14, 6, 37.8, ⑫⑪,13, 1, カシノスピｰディン,---,二本柳, 3.1, 35, -10, -19,12, 57.5, ③④,13, 1,Ｎミュｰラルクラウン, 62,柴山雄, 2.3, 57,   5, -12,14,171.5,⑱⑮⑬,13, 3, シゲルキョクチョウ,,植野貴,294.7,,,,14,228.5,⑬⑬⑬
14, 2,Ｎホｰプトウショウ, 31,井上敏, 2.8, 30, -15,  -7,16,456.0, ⑯⑯,14, 7, ドｰンフライト,---,武士沢, 3.4, 32, -29,  -4,16,207.1, ⑮⑮,14,18,Ｒコスモアルドラ, 59,松岡正, 2.6, 54,   9, -25,13,162.9,⑨⑩⑫,,,,,,,,,,,,
15, 7,Ｊマウシムトウショウ, 38,津村明, 3.1, 29,  -5, -20,11,183.0, ⑪⑬,15, 9, オｰキッドメモリｰ,---,丹内祐, 3.6, 31, -24, -10,15,140.9, ⑬⑭,15,17,Ｑカケダシ, 59,木幡初, 2.7, 53,   8, -22,17,259.6,⑫⑫⑮,,,,,,,,,,,,
16,15,Ｐネコパワｰ, 28,嘉藤貴, 3.4, 26,  -9, -19,15,344.4, ⑭⑭,16, 5, コイウラナイ,---,伴啓太, 4.2, 25, -37,  -4,11, 53.4, ⑯⑯,16,11,Ｄヨッヘイ, 71,大野拓, 3.1, 50,   9, -34, 8, 23.1,⑧⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｅシャドウスペル, 70,三浦皇, 3.9, 44,  11, -48,12,107.9,⑥⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｋウマンマミｰア, 66,井上敏, 4.3, 41,* 12, -57,15,175.6,②②②,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,
単勝:120円 複勝:08=100円 04=160円 05=130円 枠連:450円,,,,,,,,,,,,"単勝:1,010円 複勝:15=340円 14=170円 10=330円 枠連:400円",,,,,,,,,,,,"単勝:740円 複勝:05=180円 06=140円 02=140円 枠連:1,620円",,,,,,,,,,,,"単勝:350円 複勝:13=130円 04=300円 08=110円 枠連:5,140円",,,,,,,,,,,
馬連:520円 ワイド:04-08=230円 05-08=170円 04-05=570円,,,,,,,,,,,,"馬連:2,160円 ワイド:14-15=930円 10-15=2,010円 10-14=1,200円",,,,,,,,,,,,"馬連:1,730円 ワイド:05-06=500円 02-05=510円 02-06=310円",,,,,,,,,,,,"馬連:4,720円 ワイド:04-13=1,140円 08-13=190円 04-08=590円",,,,,,,,,,,
"馬単:660円 3連複:760円 3連単:2,040円",,,,,,,,,,,,"馬単:4,880円 3連複:9,040円 3連単:46,860円",,,,,,,,,,,,"馬単:3,260円 3連複:1,740円 3連単:11,750円",,,,,,,,,,,,"馬単:9,330円 3連複:2,850円 3連単:28,680円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,師走ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａラテｰルプロミｰズ, 59,三浦皇,, 68,*  0,*  6, 1,  2.7,②②②, 1,15, ルネイション,---,大野拓,, 64,* -8,*  8, 7, 20.8,②③②, 1,14,Ｉタマモマズルカ, 77,石橋脩,, 81,*  3,  21, 7, 16.2,④④④, 1, 6,Ｍサンマルデュｰク, 85,武士沢,, 92,  12,* 19,15,199.6,⑮⑯⑭
 2, 5,Ｇコアコンピタンス, 52,蛯名正, 0.7, 64,* -1,*  2, 3,  6.7,③③③, 2,16, クラウンディバイダ,---,丸山元, 0.3, 60,* -8,   4, 8, 30.2,③④③, 2,15,Ｃツインキャンドル, 83,井上敏, 0.1, 77,*  4,  17, 6, 14.1,①①①, 2, 7,Ｅモズライジン, 89,中谷雄, 0.1, 90,  15,  12, 5, 14.2,⑭④③
 3, 7,Ｅビレッジゴｰルド, 56,柴山雄, 1.1, 61,  -1,*  0, 5,  8.3,⑤⑤④, 3,12, アルマイオラニ,---,松岡正, 0.5, 59,* -5,  -3,10, 47.8,⑱①①, 3, 1,Ｇクラシックメタル, 79,柴山雄, 0.3, 79,   2,  21, 4, 10.4,⑦⑥⑤, 3, 8,Ｄランウェイワルツ, 89,戸崎圭, 0.4, 89,  13,* 14, 1,  3.8,⑨⑭⑫
