15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａスキャットエディ, 71,戸崎圭,, 56,* 11, -11, 1,  1.1, ②②, 1,10, サトノキングダム,---,戸崎圭,, 58, -12,*  5, 2,  5.5,⑮⑨⑥, 1, 5,Ｋプロレタリアト, 73,杉原誠,, 83,   4,* 15,11, 28.0,⑬⑫⑪, 1, 7,Ａゴｰルドアクタｰ, 96,吉田隼,, 91,* 14,  18, 8, 17.0,③⑤③
 2,12,Ｇブラウンキャビア, 54,ルメｰ, 0.2, 55,   7,  -9, 2,  8.7, ⑥⑥, 2,14, イマジンザット,---,ルメｰ, 0.2, 55, -11,*  1, 1,  1.6,⑨⑦⑧, 2,15,Ｃディスキｰダンス, 80,戸崎圭, 0.2, 82,   2,* 18, 2,  4.9,⑮⑮⑮, 2, 9,Ｉサウンズオブアｰス, 89,デムｰ, 0.0, 91,  13,* 19, 5,  9.9,④⑥⑧
 3,10,Ｃカンタベリｰマイン, 58,デムｰ, 0.3, 53,   9, -12, 3, 10.7, ④⑤, 3,16, アｰクアｰセナル,---,横山典, 0.2, 55,* -9,  -3, 3,  7.5,⑫④③, 3, 7,Ｇジュｰヴルエｰル, 79,菱田裕, 0.2, 80,   3,  11, 8, 15.4,⑩⑪⑩, 3,11,Ｆキタサンブラック, 90,横山典, 0.1, 89,* 14,  13, 4,  8.4,①①①
 4,15,Ｆペルルクロシュ, 54,柴山雄, 0.5, 50,   5, -10, 9, 83.5, ⑨⑧, 4, 2, ユキノアプロｰズ,---,田中勝, 0.6, 51,* -6, -13, 6, 27.2,①①①, 4,13,Ｄレイズアスピリット, 80,丸山元, 0.3, 77,   5,   5, 3,  6.8,⑪⑧⑧, 4,16,Ｎマリアライト, 85,蛯名正, 0.1, 92,* 14,  15,12, 41.5,⑤③②
 5, 1,Ｅデルマジロキチ, 56,横山和, 0.5, 49,   1,* -7, 7, 55.9, ⑫⑩, 5,13, カゼノシッポ,---,三浦皇, 0.7, 52, -13,  -2, 7, 28.6,⑤⑪⑩, 5, 6,Ａドラゴンズタイム, 84,吉田豊, 0.3, 81,   3,* 14, 6, 11.7,⑭⑭⑬, 5, 4,Ｃラブリｰデイ, 95,川田将, 0.2, 91,  13,* 19, 2,  4.5,⑥⑧⑥
 6, 2,Ｄアオイソラ, 56,吉田豊, 0.6, 49,   8, -14, 4, 18.3, ⑤④, 6, 3, スタｰズレディ,---,吉田豊, 0.8, 48, -10,  -9, 9, 42.4,④⑤⑦, 6,14,Ｂタケルラムセス, 84,勝浦正, 0.4, 77,   5,   5, 4,  7.2,⑨⑨⑫, 6,10,Ｍトｰセンレｰヴ, 87,ボウマ, 0.3, 92,  11,* 23,14, 86.7,⑭⑮⑮
 7, 9, ロｰジｰサンセット,---,木幡初, 0.6, 47,   0,* -7,10,125.0, ⑭⑬, 7, 1, コスモシャンティ,---,柴田大, 0.8, 48,* -9, -12, 8, 29.3,③③⑤, 7, 3,Ｆジャッカスバｰク, 79,ボウマ, 0.5, 75,   3,   5,10, 25.7,⑧⑩⑨, 7, 5,Ｏアドマイヤデウス, 84,岩田康, 0.3, 89,  13,  16,11, 34.4,⑦⑦⑩
 8,16,Ｊココロノキャンバス, 33,二本柳, 1.2, 45,   5, -14,14,271.9, ⑩⑪, 8, 9, カルメンティス,---,大野拓, 1.5, 41, -13, -13, 4, 11.7,⑥⑩⑪, 8, 4,Ｈウイングチップ, 77,田中勝, 0.6, 73,*  6,  -4, 1,  4.2,②②②, 8,15,Ｊゴｰルドシップ, 88,内田博, 0.3, 88,* 14,  12, 1,  4.1,⑯④④
 9, 7,Ｂカワキタピリカ, 58,岩田康, 1.3, 42,   4, -16, 6, 37.4, ⑧⑦, 9,15, フィｰルザオｰロラ,---,西村太, 1.5, 42, -19,  -5,16,265.8,⑯⑭⑭, 9,12,Ｏゼットスマイル, 72,津村明, 0.6, 72,   5,  -1,12, 31.8,③③④, 9, 8,Ｇワンアンドオンリｰ, 90,浜中俊, 0.5, 88,  11,  18,10, 30.4,⑪⑫⑭
